Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,271bf722-18dc-49d6-a416-b629fd2795af,Sensor für Lenkwinkel
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,51579281-e746-4da9-9fa8-58075b20c9f2,Sensor für Lenkradposition
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,a475c007-3815-4feb-bfef-920b498def37,Sensor für Lenkradkraft
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,a2b13a44-f06e-4d6f-b577-79c1009fdf55,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,2614c4bc-b3a7-4416-82d0-750481d5714e,Sensor für Querbeschleunigung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,02e4f5c4-2d0a-4cef-8904-86f76df5f300,Sensor für Längsbeschleunigung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,c792e719-e6c3-41ff-9b64-f58481841f64,Sensor für Radgeschwindigkeit
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,feccdb48-51f8-43e7-8eae-762d1562b70f,Sensor für Radschlupf
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,98cef845-28ee-43b1-84d6-6edea4da3fe2,Sensor für Fahrzeugneigung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,2bc97e8d-e008-41a4-9c2d-3b726646a7dd,Sensor für Fahrzeugyaw
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,e56cda02-4c50-4fcd-bd83-9efb88bcf667,Sensor für Lenkradtorque
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,302fcf27-1cd7-40f7-89e4-3aeb0adc3388,Sensor für Lenkradvibration
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,047b83f1-9611-40c3-b0ed-76c5cd4cca95,Sensor für Lenkradtemperatur
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,3ead2c7a-b547-499c-805f-f9cc35636633,Sensor für Lenkraddruck
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,15b9cfdd-7972-4686-9610-6739457b44ad,Sensor für Lenkradbewegung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,ab9dc114-bed6-499f-ba41-b21e65aba654,Sensor für Lenkradwinkeländerung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,a0138ec0-b8c4-42dc-9b70-dc10748d89ae,Sensor für Lenkradfeedback
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,88b55ff1-80ee-4a96-b970-81a5bcb912e3,Sensor für Lenkradsteuerung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,6d5f4603-748c-4ecb-b4be-3404c376879c,Sensor für Lenkradstabilität
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,329a1573-8d42-49cd-976a-db2a7fd3c57b,Sensor für Lenkraddynamik
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,4a347248-938a-4663-82e4-1f60ec243eb8,Sensor für Lenkradmodulation
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,2be3942a-1b9c-48aa-a0b5-e65fbce92094,Sensor für Lenkradinteraktion
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,0dce2154-a0c0-40cc-b011-233b13ce9e5b,Sensor für Lenkradpräzision
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,155a5abf-1921-406d-b839-81367e27edaf,Sensor für Lenkradkalibrierung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,175a634f-fb39-4459-a5bd-6905260fdf99,Sensor für Lenkraddiagnose
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,5dff904a-a4e6-4ea2-a1b1-05a2f67ab073,Sensor für Lenkradoptimierung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,ad6430d2-d8d4-4de0-8918-a6f29f9447c4,Sensor für Lenkradüberwachung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,0c62c2c6-d7de-49d2-a06e-0bbe07bdac75,Sensor für Lenkradkontrolle
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,d45b5f2d-2ec8-4d70-8964-68642142a518,Sensor für Lenkradassistenz
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,3a30faff-0560-40d0-86dd-484985ffe97c,Sensor für Lenkradpriorisierung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,c5fee15d-9b44-4b08-add9-6c323797fc36,Lenkwinkelregelungsalgorithmus
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,34ed06a5-3b8d-468e-b043-604c6ca2e384,Lenkwinkelregelungssoftware
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,8f54964d-608b-4294-9eef-3ae0336eed03,Lenkwinkelregelungssteuerung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,15cf2763-d42e-4a50-aa38-2b37ae16cc2a,Lenkwinkelregelungsdiagnose
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,6841e07a-4838-497f-b204-ad44d4e7b5e4,Lenkwinkelregelungsoptimierung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,a3b2e5b6-f981-43a7-82b3-799ac15df6f4,Lenkwinkelregelungsüberwachung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,80c91777-8a11-491b-a3b7-656ededaba2c,Lenkwinkelregelungsmodulation
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,c462f3b6-0d5e-4f25-9060-2c7691991836,Lenkwinkelregelungsinteraktion
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,a5e46cfe-9d67-416e-afb2-b051c144c642,Lenkwinkelregelungspräzision
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,58cee713-1fd4-48b4-b4ec-cb31471d4c4f,Lenkwinkelregelungskalibrierung
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,c60b2eb7-5627-46d2-b047-a34cd16af91c,Lenkwinkelregelungsfeedback
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,58df8d11-cd43-4830-8d45-957b1556695e,Lenkwinkelregelungsdynamik
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,6394d635-bc96-4059-9473-6ae278db1d1f,Lenkwinkelregelungsstabilität
Fahrsystem,Lenkungssystem,Lenkwinkelregelsystem,9ae2221f-23fc-4630-88a7-ff5fe9fbcdbc,Lenkwinkelregelungsassistenz
