Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,3d9b08f8-6b3b-44c1-99d3-b864fb85e354,LED-Modul
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,08931b8b-7136-4221-9c0d-23d2ed4bb0eb,RGB-LEDs
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,d1b1f196-2602-46cb-921b-4337aff9411e,LED-Treiber
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,f285c588-f072-40df-970c-81acfdf5c62f,Optische Linsen
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,b9ca7bc8-c6c7-4e94-9ad7-26b05d7f54e8,Reflektoren
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,7ef1d079-d383-4990-ad08-7309ee644404,Stromversorgungseinheit
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,9c553834-4f6e-42e9-8565-f6f6094bfe6d,Kabelbaum
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,cdfedfbd-97bf-4974-9220-6bd58d6d0ccd,Steckverbinder
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,3b7052e0-82ef-49e5-b5c5-95c78fd28762,Temperatursensor
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,540c6170-f764-49f4-b155-9072412e8062,Umgebungslichtsensor
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,ea0f7733-9dfe-42e8-9d27-4df474c1e03f,Spannungsregler
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,e9a8757f-b94c-4b70-8b51-06195355db59,Schutzgehäuse
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,c9383e0f-ae3b-44e9-8b8e-6b7aa1b5f720,Montagehalterungen
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,6c3fdadd-818f-4e95-bfab-b688352e292b,PCB-Platine
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,32c2c296-2e6e-436f-88c6-207ba49337fb,EMV-Filter
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,4500c2e9-3f89-4bbb-9234-ba175d5c6cb1,Microcontroller
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,5fc06799-8526-4b0e-96c0-cf0f21217b7c,Signalverstärker
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,53e0f020-9176-4af3-a5a3-bb65f255cff4,Relais
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,055b4b21-d31c-4c2c-ad91-c18bad663188,Schalter
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,6531a4a0-3c83-4477-a9a8-6d5e426f29f2,Diagnoseanschluss
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,b9fe14a7-bf23-4d8c-9405-6bdc852cf9f7,Heatsink
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,e1c9d08d-1840-4575-9a86-7aedd590f892,Kühlkörper
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,21e94372-1c65-4502-91a8-e2d51fae7525,Isolationsmaterial
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,2e6d8597-ea36-4330-80eb-7e02342e5090,Schrauben
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,28dc1642-db96-40d8-acea-9c16f17be0e2,Halteclips
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,51522b00-66ba-4eb9-8f45-44ad33de95ac,Abdeckungen
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,f14557d0-07a7-4e57-80b7-d2e868490a53,Optische Filter
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,e3409cee-06fd-449f-adb5-6ab1eec9bd63,Diffusor
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,be550cba-7750-49df-8d16-0f4baf8946c9,Schutzfolie
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,abb263fc-66a4-4d1d-b2c9-40f7135595ea,Montagewerkzeug
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,dc6f836d-75dd-4741-a934-2f67a37dd06c,Lichtanimationssteuerungssoftware
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,89553ff1-29a8-4155-a826-5741e46710d4,LED-Treiber-Firmware
Bodysystem,Beleuchtungssystem,Lichtanimationssystem,e13474a6-028c-4acf-814e-46b9c7e7e753,Farbanimation-Algorithmus
