Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,4da00d13-8717-4527-9d81-8e45292d4cc9,Luftsensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,383bc4c9-c0b1-499d-82c1-f19db6c43b26,Temperatursensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,09c3828a-4ec2-4e3f-b344-3968417d23ef,Feuchtigkeitssensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,3fd8b6cd-6915-42cf-8b82-1f757522d20b,Partikelsensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,df67d65c-3242-4275-98b3-cbe514e484d3,CO2-Sensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,9795b9fe-ea4e-40cb-9530-911ca19c3ed7,VOC-Sensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,ebf7188d-4aa3-42b9-a9db-482e8e1fac9f,NOx-Sensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,c164075a-54ce-4582-807b-eff78cba3e5f,Ozon-Sensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,6fd6b1ed-a93f-4558-af93-f69dd1c39424,Filtermodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,401659a3-5fcd-462a-9c9f-0b8b83abbef6,HEPA-Filter
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,07eb45ae-c223-4ad9-81c2-3ab0268ed7d4,UV-Lichtmodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,e3b14524-ef95-4740-8d3b-20b7cf2d9714,Geruchsneutralisator
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,ec5f3902-571d-4c82-aff1-536ca7ac272b,Elektronisches Steuergerät
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,6da5662f-8585-458e-ae18-854b84d9f6d8,Lüftermotor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,a41f13d1-1cbe-47f5-be96-d552a4220c5b,Luftkanalmodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,ed5a3e15-4c66-42d1-ad03-faba38874b7a,Luftklappenantrieb
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,45d722a2-baf9-4d99-9dd0-0d5b6f1c08e6,Temperaturregelventil
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,9c0d4ec0-d60a-4df5-8ff9-980339fd05e6,Heizelement
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,4c8e0fc6-fa9c-4da6-8f7a-4f3c8da6d08b,Kühlelement
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,5dbb5c6e-a501-4099-bba1-5bdd32df1150,Luftstromsensor
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,581c3d00-e5ac-4f95-ae0a-44ff5c70a0b9,Leistungsmodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,e5f26927-c5e6-4472-b5cb-b84000fd2d7c,Relaismodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,9ae90356-4a81-4cf1-8e8e-3ef4cf00317c,Steckverbinder
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,e9c1b561-8f07-4336-8abf-63146e9b3fa1,Kabelbaum
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,47f03ce4-df6a-46d7-82bf-74d965662e0b,Diagnoseanschluss
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,982a803c-ee40-46c0-b80d-67c73597e80c,Spannungswandler
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,5e1807c4-2ce3-41c9-9417-927ed716bc48,Schwingungsdämpfer
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,89ac56be-954a-4240-a543-13315bbd4569,Gehäusemodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,3ae1aabb-2ee8-45ee-9bfd-a5b9a1dcc8b9,Montagehalterung
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,92135ef1-9d20-4354-9129-8d45830617cd,Isolationsmaterial
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,698bbe2c-5468-47f4-b56f-d4577fc0b2eb,Luftqualitätsüberwachungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,aea52038-bc61-4f8d-b2f2-fbd6427f10b1,Filtersteuerungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,bc01e104-efda-4df9-9a4b-af4507134c47,Lüftersteuerungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,4d72062e-1a30-4a53-b992-9636a9eecc9a,Sensorintegrationssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,a3723084-638a-4d3d-ad02-c02bf863b96f,Diagnosesoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,b1b02de3-2e4b-4dcb-9e6d-19e43006f7fa,Fehlererkennungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,9bc9188e-b8b6-4d79-85c8-64215192d45f,Regelungsalgorithmus
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,d18d1880-71ca-4902-b0cb-450c23870f35,Partikelmessungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,3a0a9d44-f530-43e0-bdc6-1036e4cc754d,CO2-Analysemodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,924b361a-f72b-4ed5-b7c4-04d5297020d3,VOC-Erkennungsmodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,0b7d6510-cc00-4db1-8370-c7dde5980ba1,NOx-Erkennungsmodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,ca0697d5-06fc-4c71-a133-1531bce82591,Ozonmessungsmodul
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,2d4e3adf-0074-47ee-bbd0-bd1dd0a7d067,Geruchsneutralisierungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,c15e6ac1-7ba4-414a-b041-cafd2a624d83,Temperaturregelungssoftware
Bodysystem,Komfortsystem,Luftqualitätsmanagementsystem,0c812ea7-b297-4ddb-a7d4-c669ed19b3e1,Feuchtigkeitsregelungssoftware
