Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,b107835c-54d4-4cc7-a666-4fc9c62a7ccd,Luftkanal
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,8bfe9eb3-e307-4124-b71d-fad68ad780ba,Klappensteuerung
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,80161c56-fa88-4b4e-aff4-dd45a0cc4c23,Temperatursensor
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,cc8271fc-22a0-4f6d-b3e4-ec8e6fcb1d17,Luftstromsensor
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,f7f45e80-cbe6-4eaf-b854-7e549a0d18ec,Heizregister
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,860e6f50-307e-47be-9696-8c9d56ac3670,Kühlregister
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,0d21256d-a28f-426d-aaa8-385c7a9b6a28,Lüftermotor
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,34a0dc36-33f5-4acc-ba98-817d58b18092,Lüfterrad
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,85506d71-cb3a-465b-bc30-a97cb684ccce,Filterelement
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,f0ebc1e8-b8f4-4596-af5a-f21416e133df,Filtergehäuse
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,d1767ac4-8511-41b2-a288-607b7e8e7f77,Klappenmotor
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,946167bc-4a1c-4e53-b43b-99623c91a905,Klappenmechanismus
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,f30682fb-842b-437f-8f77-07dacff29725,Leitungsisolierung
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,f68d26b4-10c5-4b46-8cfa-bb791cf98842,Luftauslassdüse
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,d60cd430-e585-4cf7-aa00-4d75381c607c,Luftführungsschacht
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,0405de92-0938-4dfd-a0ad-68a32ab6ba8c,Schalldämpfer
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,b2551316-c035-4490-ae37-dac20b34d7d2,Luftstromverteiler
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,692783a3-181f-43d3-91c5-2873b28948c5,Luftstromumlenker
Bodysystem,Klimatisierungssystem,Luftverteilungssystem,c8fcf58f-f672-4bf8-8ae2-fabac14d555c,Luftstromventil
