Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,bd974cec-272d-47f3-930c-466fb8b0e059,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,ab4bc1ed-0e31-4770-9d65-ad642f1ea183,Sensor für Radgeschwindigkeit
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,d6ee0fe8-c4f2-4224-8ef8-1311822a7df6,Sensor für Längsbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,80c9f358-3ba0-49aa-b849-5b25f07afa3a,Sensor für Querbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,5819c156-7faa-4147-91d2-157c7fb5f1ea,Sensor für Lenkwinkel
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,280ab5ec-43fc-4340-a0b5-cf21fc9ef328,Sensor für Bremspedalstellung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,8ee5b06c-108b-492e-8452-f8d4ecc20696,Sensor für Gaspedalstellung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,50789433-cc82-4633-ac42-cf972f06d0a7,Sensor für Motordrehmoment
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,1bc669f3-57f7-4a5f-9261-c8e425bd2b80,Sensor für Getriebedrehmoment
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,5ee12745-f34f-4b71-8e48-e97a006fc456,Sensor für Reifendruck
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,da1c241a-cb38-4859-b46a-e7d635003867,Sensor für Reifentemperatur
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,a56e5adb-ed28-4e44-90c0-8ebfc6f92063,Sensor für Fahrzeugneigung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,126a7437-2f3a-42d4-b73c-e44ee2e09eac,Sensor für Fahrzeugmasse
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,686b3de6-8e37-4627-a9e9-a37dd3bb7143,Sensor für Achslastverteilung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,7b0ea279-962c-431b-ac1d-bf2f203d578a,Sensor für Umgebungslicht
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,bc4a8686-f078-4d8e-967a-73a34816990e,Sensor für Straßenoberfläche
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,0fa691b0-49f2-4922-ac0a-8bf52ce3403c,Sensor für Straßenneigung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,95c492cc-62d3-4e76-ae47-db1885fe446c,Sensor für Fahrzeughöhe
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,6d7025d9-4c78-4124-9392-f377a55ba308,Sensor für Fahrzeuglast
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,e5c10a42-dfaa-49a1-ac7c-29c2c92dd4d9,Sensor für Bremsdruck
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,e97f1ba5-330e-4b9b-b87a-80076e1539ac,Sensor für Bremskraft
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,4ee74d71-cd3f-4a8e-9c94-22e029bcb30a,Sensor für Bremsentemperatur
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,e3efa3d0-242e-4517-b399-cbd9881d79a5,Sensor für Antriebsleistung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,bf1af3e5-f0b7-49da-9e03-0e201480fc55,Sensor für Antriebsdrehmoment
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,c06da744-9ea6-401e-a0d1-e5a1032de8ff,Sensor für Antriebsenergieverbrauch
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,fdb0e156-b236-4da1-9d59-08c5802c46b5,Sensor für Rekuperationsleistung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,b539ce93-74e6-41c8-8c75-6411fbb3f2fb,Sensor für Rekuperationsenergie
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,49b7132d-ba99-4e6c-b442-c25bfd9677fc,Sensor für Batterieladestand
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,0492f051-7b36-4eea-a03e-582bb5f1b478,Sensor für Batterietemperatur
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,87583385-3106-45cc-ba9c-11b1500608b8,Sensor für Batterieleistung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,e05e452c-8dd2-40b8-b94d-ed3dd34659f7,Längsdynamikregelungsalgorithmus
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,049bc89b-ae9f-4a7c-abbd-3ac6606833f3,Traktionskontrollsoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,3eb2d359-a2b5-493d-a0d2-dd4f147be5be,Schlupfregelungssoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,bd49dfb4-e95e-4ad4-bc0b-fe541b681870,Stabilitätskontrollsoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,12acbe16-98b1-420b-99f2-34485e33cae2,Bremskraftverteilungssoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,335f96dc-22e0-4912-8cec-22d1cebcc070,Rekuperationssteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,02e286ba-1b7e-45d3-85ef-a44329533502,Motorsteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,273a47a6-4487-46c4-bb75-b8cbe8bf8a2b,Getriebesteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,0529496c-da3c-41fd-b78f-66567c5a59a0,Fahrmodussteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,7e495150-373e-4021-8286-3e2812e9b55d,Sensor-Datenfusion-Software
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,328890d3-742d-4222-9518-6026ffcaeb73,Diagnosesoftware für Längsdynamik
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,889847e1-5205-42e4-94bc-80bc5bc2f925,Fehlererkennungssystem
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,3f95c891-ab77-4438-8613-85e462941c68,Software für Fahrzeuggeschwindigkeitsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,9e1fa06f-f23a-4430-a0c8-291fcfa491e7,Software für Radgeschwindigkeitsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,a86539cb-1d08-4b1b-81bf-4cdcffbb9d9b,Software für Längsbeschleunigungsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,ac2a12ea-1f0f-4637-8df0-3c58f04b394d,Software für Querbeschleunigungsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,be80d3de-1cf0-4177-8000-d65aefd06bc0,Software für Lenkwinkelregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,bfab4bf7-3174-4053-a912-e32e51d2a79c,Software für Bremspedalregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,ecc91e66-fd22-40fa-9e30-4ef1f8098823,Software für Gaspedalregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,a1447924-a80f-407e-bc15-383b3170d8d1,Software für Motordrehmomentregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,ee32c0dd-2b51-4f2c-b55c-f9ffad6d595a,Software für Getriebedrehmomentregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,ad88e444-aebe-4e5f-9503-5db28ae3205b,Software für Reifendruckregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,f422ecf3-0645-4a48-b842-2c0b01da347b,Software für Reifentemperaturregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,aceba7c6-40a4-4650-bd2d-89ff22d23be6,Software für Fahrzeugneigungsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,c5827642-09a0-49ba-a515-717a60f79b8b,Software für Fahrzeugmassenregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,220445f8-30fc-4ff1-9b5e-b0e8f29a9933,Software für Achslastverteilungsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,7f9f0e38-a1ff-4564-a4fe-585b71ae1526,Software für Straßenoberflächenregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,2eea8804-673f-411d-8c6d-185f635122b0,Software für Straßenneigungsregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,28700988-88dc-4e5b-a11f-9addba82fe0a,Software für Fahrzeughöhenregelung
Fahrsystem,Fahrdynamikregelsystem,Längsdynamikregelsystem,ac0e8e45-c629-42ed-9aeb-95daffdcb347,Software für Fahrzeuglastregelung
