Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Komfortsystem,Massagekomfortsystem,cc9e027e-22f7-4474-8f1e-c1eb8c5273ac,Massagemotor
Bodysystem,Komfortsystem,Massagekomfortsystem,0db9f72d-f41c-47f9-a4cb-81f02478b3f4,Massageventil
Bodysystem,Komfortsystem,Massagekomfortsystem,b48db90c-9a37-418f-892f-03a06b65dee7,Massagepumpe
Bodysystem,Komfortsystem,Massagekomfortsystem,a6771768-356b-4285-9890-0f163753af66,Massageheizelement
Bodysystem,Komfortsystem,Massagekomfortsystem,104650ca-119a-469c-a960-4c5e8de38aae,Massagekühlmodul
Bodysystem,Komfortsystem,Massagekomfortsystem,978a3c5c-04d6-4cc1-90db-dc0184d36e32,Massagepositionssensor
Bodysystem,Komfortsystem,Massagekomfortsystem,5c25eae6-554a-42b4-9bbf-336a3a8c8eb1,Massagekraftsensor
Bodysystem,Komfortsystem,Massagekomfortsystem,da77533d-8659-46b2-b98e-c584e0bf0dee,Massagedrucksensor
Bodysystem,Komfortsystem,Massagekomfortsystem,1b28dec2-52f6-4264-bdd9-045c275a3a8f,Massagesteuergerät
Bodysystem,Komfortsystem,Massagekomfortsystem,96dc6cc1-a046-4ee0-bb75-b1eb1aba84ea,Massagevibrationsmodul
Bodysystem,Komfortsystem,Massagekomfortsystem,f6680e35-1e25-420a-95be-9d1b59b3e380,Massageluftkammer
Bodysystem,Komfortsystem,Massagekomfortsystem,96c541a4-13e8-4c46-a269-1998c74d4a73,Massageluftschlauch
Bodysystem,Komfortsystem,Massagekomfortsystem,0860d20d-fc7d-49ee-ae61-191aa3b2cf7b,Massageluftventil
Bodysystem,Komfortsystem,Massagekomfortsystem,e0065b4c-01aa-45b1-a14d-26fe33ee8557,Massagestromversorgungseinheit
Bodysystem,Komfortsystem,Massagekomfortsystem,5fa9e9a2-020f-4623-a235-771027cb58b3,Massagekabelbaum
Bodysystem,Komfortsystem,Massagekomfortsystem,fc6776d1-e6e7-461d-9854-e47d1b29e54f,Massagebefestigungselemente
Bodysystem,Komfortsystem,Massagekomfortsystem,26c4ddc0-7aeb-407c-bba9-bd55d6902dcb,Massagepolster
Bodysystem,Komfortsystem,Massagekomfortsystem,542fe935-3740-4662-afe4-b78b764399e6,Massagerahmen
Bodysystem,Komfortsystem,Massagekomfortsystem,0ecce96d-d4be-4413-9c3c-bdc90c7427fc,Massagemechanikmodul
Bodysystem,Komfortsystem,Massagekomfortsystem,8d7b7532-0e9c-46e8-ac7e-5dae5ccf6271,Massagebewegungsmodul
Bodysystem,Komfortsystem,Massagekomfortsystem,27c5a6b8-e913-4092-83fb-322eddc8eed4,Massagedämpfungselement
Bodysystem,Komfortsystem,Massagekomfortsystem,c206198b-8779-462f-aa41-3e09b6fe5460,Massageisolierung
