Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,73018e42-9616-4985-9336-64d60745d33c,GPS-Antenne
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,77727874-1025-43ba-897f-7276fd13078f,GPS-Empfänger
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,2e6695ae-6f22-4976-a1af-b891d3673b9f,IMU-Sensor
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,eca553b8-e215-4107-88a5-fe0ffda0c66b,Magnetometer
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,5cde3ea2-6597-4806-9721-8a7ec4c4d9b8,Barometer
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,d49fafd5-7543-4b49-9ac0-83adb0fa64a9,Temperatursensor
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,5f8b5380-d923-41bf-acd3-27b6d1ca1f6e,Display-Einheit
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,44d64574-4e4a-42e6-9ac2-2551385d1877,Touchscreen
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,c5bbaadb-5f66-4ea4-b613-b809ce190ec7,Steuergerät
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,06e2a231-83c4-43ac-9342-3bcaa06cd24e,Speicherchip
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,bd6c55c7-2c7d-4dc7-a7bf-956964f2850d,Prozessor
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,e9ff26ae-71a3-420c-9059-b5e82f34dbcf,Kommunikationsmodul
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,93ad0e9c-4fa6-4fbf-b7dc-11153a5240c2,Wi-Fi-Modul
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,591149a3-346e-4218-b08b-8f7565fc1f35,Bluetooth-Modul
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,179e19e4-97c5-4673-bc56-f4bae3902a97,LTE-Modul
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,736c00d3-e2f0-442f-bbf4-b7f985b3bea6,USB-Anschluss
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,63ff04db-4864-401e-b0cd-f7b286e9a6c1,SD-Kartenleser
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,f0c8be2e-0dab-4919-85dd-126145b4116c,Spannungswandler
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,e4a6c0f2-47e7-46b0-bb5b-5571a0617bb9,Stromversorgungseinheit
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,60a6effc-4f78-4bdb-b417-130624c028eb,Kabelbaum
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,b4b24513-253b-4940-918b-05a71c1cfca0,Steckverbinder
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,b8b299ad-2730-407f-8483-07918ae73219,LED-Anzeigen
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,a108c9d8-0cb9-40eb-b437-44625328a16e,Knöpfe und Schalter
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,81ce3b29-22dc-404b-92ba-b20548069cb1,Lautsprecher
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,9b85ad2e-f2d8-4604-a049-e7e4fbc26268,Audioverstärker
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,f33af05e-7479-4d48-b73c-c9cf31d10973,Mikrofon
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,4efa38c6-0b68-4ffd-ab1e-4485a30dbf0c,Backup-Batterie
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,0402ed1f-cd69-4fcd-bf15-23b4c7094b27,Gehäuse
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,107412bb-b99a-4feb-9d1c-b829bbc0eb92,Montagehalterung
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,d6c5f8de-dd4a-4cc0-990e-a0f773cd62cc,Kühlkörper
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,baafdd4c-dc26-4e06-bfec-f3157c0c7830,Navigationssoftware
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,db4d8015-d9ec-4f02-9c91-27991b3ad657,Kartenmanagementsoftware
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,1861e2ab-ca5e-4e87-aee5-b23aa654140c,Routenberechnungsalgorithmus
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,5a0d9252-8f81-4c81-aecf-ce9102e959ab,Verkehrsdatenverarbeitungssystem
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,d279d5bc-a8b2-4531-bcd1-662a0b3b0215,Sprachsteuerungssoftware
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,4d8e5321-06da-40fb-ac26-4d9b22bcdf6e,Gestensteuerungssoftware
Infotainmentsystem,Navigationssystem,Navigationsassistenzsystem,ebd45254-4e5d-49a0-9039-e505863cff99,GUI-Framework
