Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,fc838e66-1c0c-40ac-8e9f-4e848c77d40d,Spannungsregler
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,b2ca207d-d754-4af4-9c58-f600755375ec,Kondensatoren
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,aeaf10cc-948b-4b1a-88bc-d17f8765d917,Induktivitäten
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,664c5b23-51ce-49ab-9f7c-343d36bf3a61,Transformatoren
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,8aceb5ef-84e4-49dd-a97f-ab11ed03e88f,Leistungstransistoren
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,b4e93c11-ebbe-4726-b5bf-e6eb9cbc3369,Schottky-Dioden
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,0c10daf4-97ac-4ba6-9cc4-2368139d0ad8,Relais
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,0ad236f9-cbbb-48e4-aa65-2f9cee4f0d5c,Stromsensoren
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,6f8cf8b2-bcab-4054-b875-196423bee806,Temperatursensoren
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,093818b2-6a89-424f-9536-a971d52d437d,PCB-Leiterplatten
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,a4d2a981-7348-42dc-9675-02b8e702c815,Steckverbinder
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,c0eb43c7-27ea-4845-a2ea-9032b33fe534,Kabelbäume
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,e6f19fbc-17aa-49d5-a300-304a4b2984f9,Sicherungselemente
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,fc0502a2-091d-4f9a-a082-9667896b45f5,Schaltkreisschutzmodule
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,a4b48d61-fa1c-49f9-8ce2-559ec33f5b46,EMV-Filtermodule
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,c068ad15-9097-4c1c-8fd7-f401be833709,DC/DC-Wandler
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,7063d761-dbbc-47ab-b723-e2be621c1b45,AC/DC-Wandler
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ab3c2033-aecb-4b57-b7c8-002961f7d2e8,Spannungsteiler
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ca4b8a17-2087-4aa4-9a8b-ed8d28c0548a,Leistungswiderstände
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,b2f1711b-5de3-40fe-b2d6-5517d5324415,Optokoppler
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ba3c5dc2-02cd-467b-b5ac-fd51ab8d4f8b,Schaltkreissockel
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ce8bc4fd-6b65-45d9-8dcd-38ff33de158c,Isolationsmaterialien
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,100cefc1-be2c-46ca-ae1b-0bd390fd3061,Schirmgehäuse
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,3cd4d57d-9e85-40e7-b0d9-01dd44f11d7d,Kühlkörper
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,9ce18eac-b69e-46df-a5db-e65741f170d8,Montagehalterungen
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,f2181ca4-f33b-46a8-bfb5-d6b64248be4a,Schraubverbindungen
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,305fe85b-e801-42d1-b25b-257d78b7191d,Schaltkreisschalter
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,630a919e-32c9-4dad-991b-701d1a10bb20,Signalverstärker
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,f46ec5e7-f2dc-4018-a151-87b9436fe4ed,Stromverteiler
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,c70b503b-6c25-4f94-867b-51bb8084277b,Diagnoseanschlüsse
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,9a1e16aa-512b-4783-8fd8-02377e77e7ad,Spannungsregelungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,9061d349-d035-4741-a576-65d125b265b3,Leistungsüberwachungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,d7839ff7-4231-4680-93d0-5aa234d6ffe2,Fehlermanagementsoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ccc39bd8-1b1a-4404-bdd0-b48487d77bee,Diagnosesoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,e13ae93c-6003-41e5-af22-ab0f87122b9b,Kommunikationsprotokollsoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,1dbb2687-775b-4dbe-aa5c-c85da0188ef6,Sensorsteuerungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,2f9eda8d-b77c-4c38-9fc3-9a7be6e4de78,EMV-Filtersteuerungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,09ee818c-a489-4786-b5a3-fa9502a30f0e,DC/DC-Wandlersteuerung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,1f9a5666-5e9f-4bfc-849e-272140688428,AC/DC-Wandlersteuerung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,24bf9155-3936-47ee-b4d5-37ea5887c3e3,Spannungsteilersteuerung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,038a386c-478f-468d-a64f-b668633ecaa7,Leistungswiderstandsmanagement
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,3fc62f7e-dd64-41c8-911c-fa3fd3b8627c,Optokopplersteuerung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,d774a58e-7ef3-48eb-90ae-06549d4f0069,Schaltkreisschutzsoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,6ce75a92-422f-4224-bc1c-8f7aed008515,Relaissteuerungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,73efc51d-9aee-48b1-85ce-586142351a63,Stromsensorsoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,35fc4f87-3c62-437e-b9ea-2e0b24351990,Temperatursensorsoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,7215b2b9-b9b2-44d3-83ac-8b95586b5971,PCB-Diagnosesoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,2a785be2-1fae-47a5-a9d1-126c891b0f60,Steckverbinderüberwachung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,dd5b01b7-da7a-4b36-900d-477acae1a0bf,Signalverstärkungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,6632c57d-beee-47a8-986e-2ef882f2abc5,Schaltkreisschaltersteuerung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ebc09168-93bd-4ae6-8674-498947fd3729,Stromverteilersteuerung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,1745be19-d1d2-46fb-96db-dc1e8575a3a2,Isolationsüberwachungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ddad3f08-31e8-406e-8de8-50c75f85d200,Kühlkörpermanagementsoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,966a8a63-3dea-46f6-95be-1c43ccd2bed8,Montageüberwachungssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,cb61ae6b-2bf0-4391-804c-9faec23bbada,Schraubverbindungsmanagement
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,07125b58-f615-4804-b1e3-0bb4978a54a3,Schirmgehäuseüberwachung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,ac5c2519-de90-4c63-9aaa-cf9c11203de4,Diagnoseanschlusssoftware
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,964e31ba-9ad5-4bb4-af2e-79c435324be0,Fehlerspeicherverwaltung
Energiesystem,Spannungswandlungssystem,Niedervoltstabilisierungssystem,9221dcfc-82a0-4696-a431-3a3dc545df85,Spannungsstabilitätsüberwachung
