Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,da264ea0-5490-4846-b803-065850abf0e3,Notfallfreischaltmechanismus
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,95d171b8-2c75-462e-8b74-521242163148,Crashsensor
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,0615aa09-f4f2-4f93-a34a-dcd0a5b574dd,PyrotechnischerAktuator
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,4f11141a-2674-41fe-97d9-ae8e317ab73e,Notfallbatterie
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,274ba0eb-caf8-4745-8a4d-44cd78a05490,Notfallsteuergerät
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,0faaa36f-e9fe-493d-b835-1324bcf284b2,Kabelbaum
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,521b4819-1858-4b48-85ff-d44a878ae39d,Steckverbinder
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,d90043b1-8dd1-4bc6-af83-626dc70a3666,Relais
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,dad09846-fa5f-405f-ba69-1997ee842d18,Schutzgehäuse
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,21189cc6-96b6-43c8-8b3a-a3fe44912ade,LED-Anzeige
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,6021f590-644b-4f80-89c7-381705f364d3,Warnsignalgeber
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,cd373d84-2ec2-4758-9479-fe05911a63de,Schalter
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,8a7a94cf-b737-4545-80cd-678ca5cb2360,Temperatursensor
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,33034bd4-84dc-4a49-b80e-1fc4283219b0,Spannungssensor
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,9204a6f3-623d-47fc-b6d8-57808daf4a7b,Stromsensor
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,31981724-1b9a-42e4-8b09-38dbc2270c1e,Diagnoseanschluss
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,abe11c93-6b3a-46d1-b6e3-fecf9d32caf5,Notfallzugangstaste
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,0615ac40-ecb5-4636-a7bc-c1f24569f174,MechanischerHebel
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,8f007cba-ff8a-4e7d-81f6-8c03bfb73ab1,Hydraulikventil
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,52a077fc-29e0-4462-a114-986a683f930f,Gasgenerator
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,b865802d-6cc5-4131-8af3-24f93a0ed487,Schutzabdeckung
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,1c017dfb-c627-46fb-9920-fd2952b894a5,Montagehalterung
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,e12d665c-e8e8-4f40-b262-f13bdce07aaf,Isolationsmaterial
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,24ad0a9b-e336-4a0a-aaa6-891f6d06b802,Notfallzugangsschlüssel
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,9a5b1bac-10d6-46c3-9f18-5ca6c1593318,Schließmechanismus
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,1874565e-53c3-403b-ad8a-95c0851f496f,Notfallzugangsklappe
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,000c11b5-5cf0-4b45-a151-ba352e31c0ef,Crashabschaltmodul
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,235d9202-8e90-4077-b269-37ad641b361a,Notfallfreischaltmodul
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,81d3211c-c634-4744-979c-d589a9b6fef3,Notfallzugangssensor
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,87539d40-1e0e-4a47-a2d9-3ff32657fc1e,Notfallzugangskabelbaum
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,1b81cc73-a2f9-4161-8926-56ffd1c36c09,Notfallfreischaltsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,621d183d-ddb9-41b5-b9a6-7fa0dc3af218,Crashsensorsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,bc4924ef-842f-42ff-beea-d1f7f376bfe0,PyrotechnischerAktuatorsteuerung
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,2f75f884-6e6a-4412-b6a0-32c64621762e,Notfallbatteriemanagement
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,fcac080a-ac72-4f29-8cb2-0b5c4e44b3f9,Notfallsteuergerätsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Notfallfreischaltsystem,d2c812ab-31c4-454c-ad91-9630766d1541,Kabelbaumdiagnosesoftware
