Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,9f9b790d-00e3-44cd-b189-dfc13c0f5c0c,Hydraulikpumpe
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,ce9c08fa-cffb-452b-bcda-11435c4eb9d4,Bremsdrucksensor
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,eb827d6a-a12b-4688-9e44-e509373b7bdc,Bremskraftverstärker
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,a22c6f86-2c4a-4fea-b842-b767e3537497,Parkbremsmotor
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,83983115-fa02-487c-a706-42455623309a,Steuergerätgehäuse
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,c963cbcf-7fe0-4e33-9c9c-f235ddda779e,Relaismodul
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,23c2431f-7fd2-4f24-9800-186b1d3eb97d,Kabelbaum
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,e067e7ae-7587-4c31-8e14-b8c2b2196f94,Steckverbinder
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,417ba53d-9709-47e7-a6c6-b4579d2e969e,Bremslichtschalter
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,94400505-7b78-4bd2-93f2-fb4e71f84c0b,Magnetventil
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,28ee2c13-6068-4134-8c6f-830401a679cf,Bremsflüssigkeitsbehälter
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,aba9c635-3492-4806-bd45-235d6d04f92f,Temperatursensor
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,0773b8ba-41ff-435f-a425-74c9d98ba0ae,Drehzahlsensor
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,33083601-5dc4-4a5a-b574-df43d1bd66c6,Positionssensor
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,312bdb65-8014-4271-9e4a-25057a95cf8d,Spannungswandler
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,f3d30406-bdd0-4686-af34-c1a717248507,Leistungstransistor
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,a881a30c-dc81-4e13-8a87-15027a1cf1a4,Schutzdiode
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,19e8885d-a85a-4885-9d5e-41a47949acb2,Schraubverbindungen
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,5175c4fe-e452-4127-92e1-51771ac10e87,Montagehalterung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,9605b0a0-8b2f-45d5-aa4f-3fb1433fc1e2,Isolationsmaterial
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,18d0b854-0317-43ba-b739-cd1dd58ef79a,Schaltkreisplatine
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,dd249cea-64bc-4a8f-a403-249ec441b2a7,Signalverstärker
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,00e573f9-4e19-4c88-836b-da0bcafc576f,Diagnoseanschluss
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,16dfb32d-f447-48c8-9f67-3519c92ad58a,Stromversorgungseinheit
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,382ad2ad-921c-4e67-8dc9-164718dd4395,EMV-Filter
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,08225097-2d70-43fb-bf0c-efb265882840,Schutzgehäuse
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,fb6d0374-b13c-479e-9447-ba7a43d08c9d,Mechanische Kupplung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,3d8aca66-3808-4f88-a879-2faf1d4caaf7,Antriebswelle
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,76363526-ed0c-43f5-8241-8458ce2b8189,Schraubenfedern
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,b80bbe04-8f17-4581-a651-9bd339f52018,Montageplatte
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,4fb00774-3d99-4585-9ee5-a83b559a8b76,Bremssteuerungssoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,046756af-4de0-4df6-aaf6-f5539d1c0d4f,Diagnosesoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,6b0a704b-d20e-4866-a3f9-deee26b804a7,Fehlererkennungssystem
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,ae76ee5e-ad71-4608-9fb2-02b3a5e80663,Sensorüberwachungssystem
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,e3c7b942-7bdb-4e4f-8a30-e41b96507da1,Motorsteuerungsalgorithmus
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,26aec7f3-0711-44b1-a200-a2a10860cd76,Signalverarbeitungssoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,d332bb4a-0878-4e2b-9d91-6bc5704a1e7b,Kommunikationsprotokollsoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,0185349d-1114-45a7-b36d-3e3e12dc1d6a,Positionsregelungssoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,67148e60-285d-492c-b310-e04c728ffc67,Spannungsüberwachungssystem
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,75d687d9-2c61-486b-9ab9-eded6ac6787c,Temperaturüberwachungssystem
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,cfb6bb77-2361-475e-b42b-e5c4e701c326,Hydraulikdruckregelungssystem
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,30a95d13-79ea-4b47-8ec5-a6330ae59253,Notbremssteuerungssoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,4ab75558-a490-42b6-a29a-15b7e5482e3e,Selbsttestsoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,bb1dd0e2-d005-46f2-aa18-b686b2fdc565,Update-Management-Software
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,512b95ee-8a1e-4365-8e03-fd9de72f74de,Fehlerspeicherverwaltungssystem
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,37878de2-79c3-4f64-b4a8-411ee0800e04,Signalfiltersoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,0c172127-4a46-4997-8618-13a749345e26,EMV-Schutzsoftware
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,473a6e6f-f3f5-40d9-81cf-69b56d0d7db8,Software für Bremslichtsteuerung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,c28d23c1-d47c-4c27-aa19-6c60b5c6cf13,Software für Bremskraftverteilung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,8e852f75-aa2f-4b60-8252-142a5c730017,Software für Bremskraftverstärkung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,a918544f-c176-4cb5-90fa-8ee8841fce26,Software für Magnetventilsteuerung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,a9b1075e-24f8-4793-97c7-b87f4bddabd8,Software für Drehzahlsensoranalyse
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,68244876-8185-4bb1-8a38-0cc34bd1064c,Software für Positionssensoranalyse
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,8f2f342a-dde2-4a7d-b8bb-6f5fa8429f23,Software für Relaissteuerung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,41e01ccb-bfca-4778-a4a1-946447ce2b60,Software für Kabelbaumdiagnose
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,fce4e6ec-aee8-4764-81bd-b61f6fbfd13d,Software für Steuergerätkommunikation
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,1609bc83-faaf-4d47-9bab-f4cc3592b42e,Software für Bremsflüssigkeitsüberwachung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,9edacb11-5874-489c-a1bc-85b53bb43191,Software für Schutzdiodeüberwachung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,b2dbbdbb-ba68-43e7-a6af-576a1e8e1c4e,Software für Montagehalterungsüberwachung
Fahrsystem,Bremssystem,Parkbremssteuerungssystem,34a70f63-a334-4af7-a8ea-0a1d756958e2,Software für Schraubverbindungsüberwachung
