Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Komfortsystem,Personalisierungssystem,cff1b969-478a-4b77-90ce-551de6429b5f,Touchscreen-Display
Bodysystem,Komfortsystem,Personalisierungssystem,0416636a-200d-4c42-88a6-a8472f79852b,Steuergerät für Sitzposition
Bodysystem,Komfortsystem,Personalisierungssystem,25d74f5d-688e-4393-b557-64c021737c2a,Steuergerät für Lenkradposition
Bodysystem,Komfortsystem,Personalisierungssystem,19f089d5-3225-48a9-839e-b4f8840ec8ef,Steuergerät für Klimaanlage
Bodysystem,Komfortsystem,Personalisierungssystem,fb5d2895-36f7-459a-9168-5333c38cfa2c,Steuergerät für Ambientebeleuchtung
Bodysystem,Komfortsystem,Personalisierungssystem,e6f0ce32-d1fd-4bc1-8a55-8049cc8e83ed,Steuergerät für Audioeinstellungen
Bodysystem,Komfortsystem,Personalisierungssystem,939eeb0f-b8e0-4446-af53-ac915471f445,Steuergerät für Fahrmodi
Bodysystem,Komfortsystem,Personalisierungssystem,41d6ee51-3968-4136-9823-c19bc19b7d5d,Steuergerät für Spiegelposition
Bodysystem,Komfortsystem,Personalisierungssystem,db1032b1-b4aa-43f7-9044-1386d41d4b89,Steuergerät für Fensterheber
Bodysystem,Komfortsystem,Personalisierungssystem,c6d4b7d6-6246-4532-b6ba-e0dfe3e84262,Steuergerät für Massagefunktion
Bodysystem,Komfortsystem,Personalisierungssystem,c699d3c5-d38c-4e5e-abbe-9a5e3be50e63,Steuergerät für Sitzheizung
Bodysystem,Komfortsystem,Personalisierungssystem,0ab68212-8ed6-4b0b-8935-c11529e705b1,Steuergerät für Sitzbelüftung
Bodysystem,Komfortsystem,Personalisierungssystem,a086ea02-81ae-4d4f-a1be-56c883967f33,Steuergerät für Luftqualität
Bodysystem,Komfortsystem,Personalisierungssystem,0a0d6cb5-a281-4fe6-9607-78d389aa1ff0,Steuergerät für Innenraumtemperatur
Bodysystem,Komfortsystem,Personalisierungssystem,a5a6ba1e-0333-4068-bb07-1ba8c41efbe7,Steuergerät für Lichtanimation
Bodysystem,Komfortsystem,Personalisierungssystem,0fd8468a-8463-4124-abbf-95846379f12a,Steuergerät für Geräuschkomfort
Bodysystem,Komfortsystem,Personalisierungssystem,91a253eb-3b60-4604-8f8d-30ca95f38793,Steuergerät für Benutzerprofile
Bodysystem,Komfortsystem,Personalisierungssystem,0170c76d-f653-455e-bb11-188d0514ab90,Steuergerät für Sprachsteuerung
Bodysystem,Komfortsystem,Personalisierungssystem,dfa343a9-71a8-446d-9cb1-65dbbac62695,Steuergerät für Gestensteuerung
Bodysystem,Komfortsystem,Personalisierungssystem,c4f77801-1e74-4928-a277-190059ea9de7,Steuergerät für App-Integration
Bodysystem,Komfortsystem,Personalisierungssystem,095be25c-483e-4fcf-9adc-a3bf141c37bc,Steuergerät für OTA-Updates
Bodysystem,Komfortsystem,Personalisierungssystem,a4b40691-b6a5-41f2-9569-e9b3efa344da,Steuergerät für Navigationspräferenzen
Bodysystem,Komfortsystem,Personalisierungssystem,283405f6-2e43-4820-b749-258a0a2c0f52,Steuergerät für Audioquellen
Bodysystem,Komfortsystem,Personalisierungssystem,bbaba183-95eb-423b-aa77-cb63510b5bcd,Steuergerät für Fahrzeugstart
Bodysystem,Komfortsystem,Personalisierungssystem,3c5e0e1e-4400-4241-81c4-4710422404ab,Steuergerät für Zugangssystem
Bodysystem,Komfortsystem,Personalisierungssystem,468534fe-1456-4f3d-ad0f-82475b1cc043,Steuergerät für Fahrzeuginternedaten
Bodysystem,Komfortsystem,Personalisierungssystem,5d8ab3c4-6b7a-49a3-a7bc-de8b44df9b0d,Steuergerät für Cloud-Kommunikation
Bodysystem,Komfortsystem,Personalisierungssystem,dacc0252-8124-4fb2-a1c8-fbb53431770b,Steuergerät für Fahrzeug-zu-Fahrzeug-Kommunikation
Bodysystem,Komfortsystem,Personalisierungssystem,11200d44-3278-430e-b46c-036de4c769c7,Steuergerät für Lichtintensität
Bodysystem,Komfortsystem,Personalisierungssystem,fffca3e0-5ff3-478e-b04c-03767dd66e52,Steuergerät für Sitzsicherheitsüberwachung
Bodysystem,Komfortsystem,Personalisierungssystem,c9038997-de13-4fc3-a2ce-d50b4a662b2c,Benutzerprofilmanagementsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,af74262d-70f8-46d9-ae39-6ca28c818680,Sprachsteuerungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,130e7a5c-3da5-49d9-9f08-4beb7a81303c,Gestensteuerungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,ef752eb7-a20b-409d-8d43-33fed7bb1165,App-Integrationssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,03755d87-a725-471c-9210-1a452219094e,OTA-Update-Software
Bodysystem,Komfortsystem,Personalisierungssystem,379fe90d-6669-4803-b912-9989cc80a638,Audioeinstellungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,d3f7b3b3-196f-4b10-8307-78ebd64cf1ff,Ambientebeleuchtungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,3e81b158-a09a-4ba6-ad14-1caa2ee0fa62,Fahrmodisoftware
Bodysystem,Komfortsystem,Personalisierungssystem,4e60e356-8199-4b96-acf3-68051a86da22,Spiegelpositionssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,43762f16-572b-4e2d-83ec-bbc5c5340d78,Fensterhebersoftware
Bodysystem,Komfortsystem,Personalisierungssystem,cfe96e34-b365-4337-b9be-bed8ab24b1a5,Massagekomfortsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,e57c10b6-1c2b-41a9-a290-5259a33a3825,Sitzheizungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,45735bc5-cd06-450a-be03-36e400f10583,Sitzbelüftungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,6eff5871-8130-4338-ad3f-51db55da37f7,Luftqualitätsmanagementsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,b323b3c5-a485-44a1-9352-45494436c619,Innenraumtemperatursoftware
Bodysystem,Komfortsystem,Personalisierungssystem,70be99e6-16a2-400c-a295-0d0cd0020f4d,Lichtanimationssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,225b6779-25ca-4263-b09f-df125f04e4ea,Geräuschkomfortsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,06b87146-97b9-4448-b194-45dcab504d28,Personalisierungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,a54ab9cc-c113-4e2c-94a2-670cf34768e9,Navigationspräferenzensoftware
Bodysystem,Komfortsystem,Personalisierungssystem,02a72a41-dadc-4dc3-97e4-67fe352b0038,Audioquellenmanagementsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,f180c3a7-3939-4c6e-8be4-af3d6b6ae3e3,Fahrzeugstartsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,5fd60d53-6cde-4263-9774-8a6ed39973c4,Zugangssystemsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,26d30197-e865-4a47-937f-18cd4f2bf0d5,Fahrzeuginternedatenkommunikationssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,4303453e-a42e-4184-a178-457dd68b8d48,Cloud-Kommunikationssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,0f7c04a6-b8dd-4929-a0f2-e178d362b939,Fahrzeug-zu-Fahrzeug-Kommunikationssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,1ee14fdc-2ed9-4d49-b56d-90e97f5707f2,Lichtintensitätssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,6f6e7886-20e2-4c8e-b268-f22da185cfae,Sitzsicherheitsüberwachungssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,fcca6c26-49c9-4bc5-a7e6-548d2c08370e,Profil-Synchronisationssoftware
Bodysystem,Komfortsystem,Personalisierungssystem,6a884531-aac3-4042-9bb1-9c2e60ef527b,Profil-Backupsoftware
Bodysystem,Komfortsystem,Personalisierungssystem,dc656843-8f00-4441-81a9-6e2885deca97,Profil-Update-Software
