Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,1167ecfe-555f-4949-b3cd-67686046583c,Sensor für Querbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,69dbbe9b-7bd7-408f-9e13-b5e8d7969924,Gyroskop-Sensor
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,617a3df5-deec-49ff-a36a-87aed1f3d07a,Lenkwinkelsensor
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,720cce38-e8aa-44a0-805c-31d61707c35e,Raddrehzahlsensor
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,6aa8dc2d-85e3-4f57-8b85-ede54813ced8,Drucksensor für Bremsanlage
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,a7dd9e3b-4013-4f31-810e-e3560cb028cf,Steuergerät für Fahrdynamikregelung
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,564399f8-b39e-4b33-894e-3a2f281dd837,Kommunikationsmodul für CAN-Bus
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,e244d58d-120d-42e4-944e-d201494e5d7c,Kommunikationsmodul für FlexRay-Bus
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,42f726b7-2c14-41ab-bb07-c3f7631f9f5c,Kommunikationsmodul für Ethernet-Bus
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,3aa77688-ff60-45a2-9c50-99d55808683c,Elektronische Steuerungseinheit (ECU)
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,028fd6d8-c38d-4016-b9ed-d2132d8deb14,Aktuator für Bremsdruckregelung
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,6fb623e2-22c3-4639-ad33-77ae9356eeba,Hydraulikventil für Bremsanlage
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,6a15939f-5dfc-4c87-b5dd-7be0f2793e76,Servolenkungsmotor
Fahrsystem,Fahrdynamikregelsystem,Querdynamikregelsystem,d1b9a653-dc0d-43ee-bfae-27d0238c4e63,Lenkgetriebe
