Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,d719e8d3-6e2c-4e04-bec3-d4220d9a6bed,Sensor für Batteriestand
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,6d941aee-48fe-4277-a244-2e71dac6c7cd,Sensor für Energieverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,6745183d-88e3-4dd4-b33c-52e3daf02f84,Sensor für Fahrzeuggeschwindigkeit
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,8308591a-677a-4521-a9ec-58c95ae7d1fc,Sensor für Außentemperatur
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,1efdbfbf-383b-441d-a1a6-eaae6e4f4fe8,Sensor für Innentemperatur
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,dcc29b4e-2c6c-4d31-85ca-c6b8d5dc16b6,Sensor für Luftdruck
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,42428ba8-4c22-42db-ba93-e82a8dd4d217,Sensor für Reifenstatus
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,fede2d44-6514-4f3f-937f-6cc2b202d4ef,Sensor für Motorleistung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,f52a1b9e-a8d9-4bf1-98a1-d60d91308a0b,Sensor für Ladezustand
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,7a98d220-753a-49be-816d-8d39b056a33f,Sensor für Stromfluss
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,a4d32cd6-f8c1-42da-b415-59933f6142f2,Sensor für Spannung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,93c616b3-d6c9-4ea9-9066-1203e17e561c,Sensor für GPS-Position
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,4f3abae5-6a06-461f-a0f8-9bb7d229814b,Sensor für Höhenlage
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,b98ab7d6-fc26-421a-8854-56ac39716c40,Sensor für Neigungswinkel
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,ebbc544e-b673-4a41-b0a0-cf52be4b9f47,Sensor für Beschleunigung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,4f800869-87dc-41c2-9b7c-1d52e65cdf7f,Sensor für Bremskraft
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,16e3a4b1-752d-4921-9f56-c703baa807d0,Sensor für Rekuperationsleistung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,ddcdb6ab-6ca3-48f2-834d-025a4cf6bb50,Sensor für Klimaanlageverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,913079a8-b0d8-43c7-94fb-b625dbe70a70,Sensor für Lichtverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,06b5aba5-41c2-4935-8124-d3ff9b7eef2e,Sensor für Sitzheizungverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,279da02c-f2ea-499a-a348-321318f51b60,Sensor für Audiosystemverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,d470c332-ab43-4580-8eff-2b1e63ec17a1,Sensor für Navigationssystemverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,c2a0e37b-bd67-43ae-a1a0-42cfca51d56c,Sensor für Kommunikationssystemverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,60abc4aa-a3cf-457f-a331-606a64de163d,Sensor für OTA-Update-Systemverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,dcab8369-bf19-44ac-9e9d-0afe4eeaa6bb,Sensor für App-Integrationssystemverbrauch
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,29737cff-b34b-4c3f-9ff9-cfd9482c5bca,Sensor für Energiesicherheitsabschaltung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,8e68fd70-8890-4401-9759-e04b560eca43,Sensor für Batterietemperatur
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,b67ee44f-6833-40fd-8a4a-ee37086f7d02,Sensor für Batteriekühlung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,d1a88fd1-6974-4349-8ebd-2df52d8205b7,Sensor für Batterieheizung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,0bab3c17-ceba-42a4-96d4-6aefbc764908,Sensor für Energieflussrichtung
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,ceacf2a3-9b3e-4f28-9e7a-87505150fc6e,Reichweitenberechnungsalgorithmus
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,1de22511-a884-4a96-b260-3f3b812dad26,Energieverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,c4d09a0f-8aeb-410c-88c6-521cf8580c9a,Streckenprofilanalysemodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,58c38b1b-fd1c-4613-8d17-80123148504e,Fahrstilbewertungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,2c8ec8db-0711-4767-9c03-aa72cee0c6e7,Temperaturkompensationsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,34a548a0-f9c7-4a87-ad17-648e2f7415a3,Luftdruckkompensationsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,df4742e9-d4ac-4719-a88c-0bcbcb46d9ad,Reifenstatusanalysemodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,cc9c0f47-0da8-4a11-b281-031d445ae025,Motorleistungsanalysemodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,484e9cfb-a4bc-4fc9-8ce2-e09346ab0618,Ladezustandsberechnungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,340071a8-ab6a-4d29-aab0-ddcca93da911,Stromflussüberwachungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,02bcb9d7-f09a-4487-9a3d-ac5d10de08fd,Spannungsüberwachungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,6e32bc33-39b7-4f81-8cf2-2d8d5ca3228c,GPS-Datenverarbeitungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,5042f750-2247-4d2f-8183-9038ae48bfa0,Höhenlagenberechnungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,5e1efe27-9ff0-4b3f-93a8-6caf6ae9dc0c,Neigungswinkelberechnungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,bcd05e48-af80-48ee-85b3-71cb89d3c700,Beschleunigungsanalysemodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,45e7470f-012e-42ca-a67e-bb4dba5f2eae,Bremskraftanalysemodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,17051d80-4c8d-4ee0-bb6c-69f4a0fd3cbb,Rekuperationsleistungsanalysemodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,37d8d23b-2f94-469a-8a49-9981c466e00b,Klimaanlagenverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,0bcf6932-df9c-46d4-b608-466690315841,Lichtverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,45be08bf-d7b8-457c-bf53-04d3eeefc33d,Sitzheizungsverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,5e56c207-d6c4-4ec8-9a1f-9ed597d2f526,Audiosystemverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,0604d1d5-f2ff-4b27-9eeb-e3ab98b039cf,Navigationssystemverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,241c910a-d42d-4d9e-bc59-4f7ca92e1d6c,Kommunikationssystemverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,efb4067e-d6b5-4d31-8feb-a6d876f58830,OTA-Update-Systemverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,29e7af98-fda2-4c6b-bab4-08a57d85509d,App-Integrationssystemverbrauchsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,d155ab13-efdb-4e97-a81d-eecfab2ce52d,Energiesicherheitsabschaltungsmodell
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,6178ba6d-c90d-47a0-8d00-7df7bb2e9cc5,Batterietemperaturüberwachungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,4a11c961-e4b5-4dbf-83d6-95bc34918801,Batteriekühlungssteuerungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,675e0b84-dd58-4b2a-b38a-bd5b2ce370d4,Batterieheizungssteuerungsmodul
Energiesystem,Energiemanagementsystem,Reichweitenprognosesystem,74c898d7-a45e-44bb-8d3a-2a35373c90d3,Energieflussoptimierungsmodul
