Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,fa04049c-81e6-40d3-8db5-f30c4451188d,Sensor für Drehzahlmessung
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,01605bf6-d727-4ce3-bcd3-44a8e582125b,Sensor für Bremsdruck
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,1b44effc-bf09-41d6-b638-0410349721fb,Sensor für Rekuperationsstrom
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,9e587ae5-6a76-4a29-b9cd-78cac6d5369f,Sensor für Batterietemperatur
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,9d3636a6-eb9e-431c-9a12-4480b5ac2d48,Sensor für Achslast
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,035acb9c-637d-4e6c-a771-1c5357b49c4e,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,2fa9ed8e-f893-43c1-b68a-73ccbdac6eba,Sensor für Motordrehmoment
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,211015fb-30b0-4fb3-8a10-e000ac32d1ee,Sensor für Generatorleistung
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,2c6a9639-dd82-4a43-8d86-fa9d1a20f7c8,Sensor für Rekuperationsspannung
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,e0c4e0c4-5c3c-40ca-84b8-795d33e734cd,Sensor für Energiefluss
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,ce76cc9c-354e-4b13-b03f-258d176d4c03,Sensor für Batteriezustand
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,80e8460f-801c-4365-9518-093e7640807a,Sensor für Ladezustand
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,e0048ecb-cb15-49cf-bb6e-ae6c2f0ebc7b,Sensor für Rekuperationswirkungsgrad
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,84833572-098f-4380-bca2-db2dba0cb5d6,Sensor für Fahrerwunsch
Fahrsystem,Rekuperationssystem,Rekuperationsdiagnosesystem,3cb04c25-aa2e-4a65-8e1e-04599d636613,Sensor für Pedalstellung
