Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,5c756fa9-72a9-4dbe-b9f1-03b7aad332a6,Inverter
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,2c92c10c-eb56-4236-a06e-5ff99056fb40,DC-DC-Wandler
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,2f04769f-de55-4308-84f3-01101a329211,Leistungstransistor
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,54803499-8b13-45ae-a144-e00ddf35b003,Leistungskondensator
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,55b22a8e-d1ca-4563-a47d-fb4c04459796,Leistungsdrossel
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,03cc839e-be1f-4028-8fe2-7a35ac60c656,Stromsensor
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,4d71cc3c-d865-4af0-a639-2c094a45c4c2,Spannungssensor
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,25feb715-e481-44cb-823f-94a924bacdce,Temperatursensor
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,20dfa27a-038d-4dca-9786-cb9876e0a20b,Leistungsschalter
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,e6632dae-052b-4b54-8a70-6cc51c791e17,Relais
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,d04bb52b-77d4-49ae-8a2f-7ffca28732de,Leistungsverteilerplatine
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,d22915b1-b148-4eb2-8b0f-b0ec26969c7d,Kühlkörper
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,a623d7b5-8403-465d-bd76-b740e748ef0d,Leistungsanschlusskabel
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,28b0934c-4074-4d61-9b71-b5b8e9b90076,Hochvoltanschluss
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,2d99bfa5-d9e3-448a-bf76-59fa41119200,Hochvoltbatterie
Fahrsystem,Rekuperationssystem,Rekuperationsleistungsverteilungssystem,8f36adb3-bfc8-4992-befc-52d57910b130,Leistungssteckverbinder
