Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,15522c93-4677-4823-8ca9-2d56ee5569c3,Sensor für Bremsdruck
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,2234c543-0f5e-4635-a505-f0929e41e12a,Sensor für Drehmoment
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,fc4aa550-73a1-4a86-8876-c9172a9a9bb7,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,bc8e284c-78ec-48bc-8020-cf539c3c2f08,Sensor für Radgeschwindigkeit
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,4f534e0d-d622-4295-8886-d62cd768a318,Sensor für Achslast
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,fdb0d27b-75d3-46a9-b304-d4bc8c54bfe1,Sensor für Batterieladung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,ba1a27bd-3d9f-4b86-b9d9-1209767d3a22,Sensor für Rekuperationsstrom
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,8c5d9057-f227-4e6c-846e-6ca5aaddf402,Sensor für Rekuperationsspannung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,dd148221-4bdc-4c49-bcf5-e55e82a6a620,Sensor für Rekuperationstemperatur
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,05cec3c7-4795-4f5e-b014-9797d4886690,Sensor für Fahrerwunsch
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,5b568dc6-ef83-4b42-baa9-221fa56dc923,Sensor für Pedalstellung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,5ec01de7-60cc-4b57-aee5-a985e6bddbd4,Sensor für Motorleistung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,f123cd3d-dab8-4288-9a10-b34792bdff88,Sensor für Generatorleistung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,e31e50b3-7ccd-4d69-a896-0e7fe2c3b035,Sensor für Energiefluss
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,e66b9366-152f-45f5-90ff-5a52d280ef6c,Sensor für Batterietemperatur
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,de8614af-f02f-4318-acf4-387f8d976da5,Sensor für Batteriezustand
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,64ee8e3f-b047-491f-9cdd-c1d5ffb79c42,Sensor für Umgebungsbedingungen
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,89db290f-e3e1-4c5a-9cea-0ff6a017da32,Sensor für Fahrzeugneigung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,2ceff998-c723-45b8-ba97-bc7be48d0a41,Sensor für Fahrzeugbeschleunigung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,b5f1e0ca-5335-4f21-be8a-a0615261b9de,Sensor für Fahrzeugbremskraft
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,0e9c1435-3774-4052-831b-ee4874c4e9c9,Sensor für Fahrzeugdynamik
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,305c1132-98fb-48de-b0c4-63eb90ac99f1,Sensor für Fahrzeugstabilität
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,ed926cb3-98a9-4259-be88-510d6d3edd69,Sensor für Fahrzeuggewicht
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,0421af0b-f943-47b8-8f95-2bd46e05d3c9,Sensor für Fahrzeuglastverteilung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,58fdbd6d-c043-4b0f-b70f-9b9dca656be0,Sensor für Fahrzeugrollwinkel
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,2622adde-5cca-41a6-a034-eae721d9d5df,Sensor für Fahrzeugschlupf
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,dbe3b693-02c0-41c5-ae2d-acb5ceb9296a,Sensor für Fahrzeugtraktion
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,5820d17e-00db-4fdb-855b-0fc8a331a784,Sensor für Fahrzeugenergieverbrauch
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,3a574a93-968e-424c-9c0b-644ae26c96c7,Sensor für Fahrzeugenergieerzeugung
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,9689db13-9fd1-47b3-9532-625083350f5b,Sensor für Fahrzeugenergieeffizienz
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,99ac534c-23a2-43c1-8f61-239b44916d1f,Rekuperationssteuerungssoftware
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,3b619d91-0bf3-4408-af2f-5df4e2349a53,Rekuperationsoptimierungsalgorithmus
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,5b9e6674-ff42-48cb-b68e-15047336cb5e,Rekuperationsleistungsmanagementsoftware
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,45a89b12-5154-4e03-97e8-7386ad75cf7c,Rekuperationsdiagnosesoftware
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,845a0a74-fa54-4f2a-8d76-4c79e6f316b3,Rekuperationsregelungssoftware
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,32da8682-34b3-41eb-8a3d-d74eabcc8c10,Rekuperationsüberwachungssoftware
Fahrsystem,Rekuperationssystem,Rekuperationsoptimierungssystem,4c863b25-4010-4728-a857-d4b454a7d41e,Rekuperationsdatenanalysemodul
