Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,7fb94a74-d782-4e28-8e5d-0df8b42d9f9f,Sensor für Fahrzeugposition
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,721b7eae-7029-4c59-bdff-1e5f9c907354,Sensor für Fahrzeugneigung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,63b7de07-7129-4d5c-a067-524a0ba40e4c,Sensor für Fahrzeugbeschleunigung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,5f22b61f-47fb-42f1-8111-006727c306a0,Sensor für Fahrzeuggeschwindigkeit
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,7161050d-183a-4eac-82d4-e850df6cfa2d,Sensor für Fahrzeuglage
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,4432bbc0-73a0-4361-b2a1-780bec47b926,Sensor für Türposition
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,9dcd8802-cded-4499-8e00-c34025a4dbc3,Sensor für Türöffnung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,88dbe251-619b-4155-9315-d2b2dfaef482,Sensor für Türschließung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,c20fcc16-997f-4414-b7e6-d7432269b6f8,Sensor für Fensterposition
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,cf37b753-4f59-4c0f-8805-834ac779bd29,Sensor für Fensteröffnung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,8addce95-1ab6-4c7e-b55a-fec86879369e,Sensor für Fensterverriegelung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,a0c30e7d-2891-4539-9711-240cbf3aa295,Sensor für Heckklappenposition
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,00834552-4907-49d3-8630-7065efca5fee,Sensor für Heckklappenöffnung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,c30de349-7f89-4233-8592-b6d91d275405,Sensor für Heckklappenschließung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,c3e9c7f9-3916-47f0-869c-b4cc992cf9de,Sensor für Crashdetektion
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,5c156f2a-9b25-4184-bba6-368a481ef3ae,Sensor für Überspannung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,deaba93a-8d17-4a71-bbf9-3d43d589ac62,Sensor für Kurzschluss
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,8533b72c-575b-4551-a5da-31d4c5034b01,Sensor für Notfallfreischaltung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,e7b373e4-493c-486d-83a4-d13f2b0b2e8a,Sensor für Rettungszugang
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,dca15278-030c-4ed1-a4bc-7a588d173888,Sensor für Fahrzeugverriegelung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,0262b858-2749-4f59-80f3-abf2ffaef766,Sensor für Fahrzeugentriegelung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,d688a92c-456f-4226-a4e4-6167d34a6d53,Sensor für Fahrzeugstart
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,016b54ec-244e-48cd-b284-3dc23401d93a,Sensor für Fahrzeugabschaltung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,f1b3e5f8-6d02-49de-833e-2a8bc71c7bad,Sensor für Fahrzeugzugang
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,83f6165f-39fb-4b08-86f1-6d6d2dfba9ba,Sensor für Fahrzeugausstieg
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,44e5dc53-788d-4db9-8d84-5685ac3c3770,Sensor für Fahrzeugbewegung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,a40cade2-19f9-4cf1-8eb9-a8ee0b4ad065,Sensor für Fahrzeugstillstand
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,a292d532-e00e-4774-b025-a015794938ef,Sensor für Fahrzeugenergiefluss
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,039e4c5b-9857-49b5-85f4-02cb83bda864,Sensor für Fahrzeugstromversorgung
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,f3288309-a0ba-4aa6-8a2a-c7e194112c12,Sensor für Fahrzeugbatterie
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,9e4acfa0-19e6-4854-9aa3-82ef73288e84,Notfallzugangssteuerungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,52457fa8-9781-4ba1-9b5c-62036bb04e36,Crashabschaltungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,611328c9-eb39-4c43-9154-00437dfed3a2,Überspannungsschutzsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,26863a7f-5ff5-4d00-baf9-7422d25bb574,Kurzschlussschutzsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,21c54234-549a-4c53-bcf3-fdf87bce0e34,Notfallfreischaltungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,5d4bc330-03d2-4fe0-95ea-5fdf5db82deb,Rettungszugangssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,d956b757-c8bc-40d6-b763-3ccb7e95705d,Fahrzeugverriegelungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,e9a615c5-7a39-4131-8f63-60c6f48c2ab9,Fahrzeugentriegelungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,db420736-7b8c-4f44-a34f-d8434ac66235,Fahrzeugstartsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,e6200b77-5171-4e53-8e02-237781a55e7c,Fahrzeugabschaltungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,ff7790e5-66b4-416c-83eb-42830ba5e704,Fahrzeugzugangssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,cd15efa7-dc26-41fe-a706-fc709ad4cd44,Fahrzeugausstiegssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,38ddc716-11d2-41ce-a8cb-23a25c02c8dd,Fahrzeugbewegungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,1dbda374-fd4f-42c8-8956-d25a81e949b6,Fahrzeugstillstandssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,5832ec29-fdf5-45c1-af03-659b27f027c6,Fahrzeugenergieflusssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,4d949dd1-0ed2-4347-bd0c-867468809efb,Fahrzeugstromversorgungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,b2215a49-aaec-4a8a-9faf-6bce1c4add83,Fahrzeugbatteriesoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,de6703c2-2e50-4d18-ba98-f6748d7fbc5d,Fahrzeugdiagnosesoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,26455dfa-6d54-4d68-bc36-c382abb9d2a0,Fahrzeugüberwachungssystemsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,f5a9a414-cf40-40c4-82c1-42a01374f5f0,Fahrzeugkommunikationssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,a2650c36-21c8-41fb-bb81-2770d779f645,Fahrzeugsteuerungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Rettungszugangssystem,25c000f9-2e83-4e98-bab3-5cd0e350a43e,Fahrzeugpositionssoftware
