Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,524ceff0-bdbb-44d8-b457-04fc622dad1c,ECU
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,b9380bf5-fa81-418d-9511-1f6a6b9fc35d,Flash-Speicher
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,07765058-f91d-4e23-82da-e436fc3213b0,Prozessor
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,d6e17fe8-e181-4118-86ac-74b17ac2b995,Kommunikationsmodul
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,7f652d37-e069-4a47-a694-b62c884cd358,Diagnoseanschluss
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,a6a4c5b1-1ea2-4c66-9b8d-7889d2c29a76,Spannungsregler
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,dfa1df7f-1a03-44f6-b9bd-4932cc787242,Temperatursensor
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,9dc1d1ef-2951-4cbd-9fdf-10a10872af00,Netzwerk-Switch
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,bfe3c74e-89be-4145-97b0-41018bd02b54,Bus-Transceiver
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,83878d2f-57ef-4b73-be9a-1f2b8c965d17,Stromversorgungseinheit
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,e6d686a1-1882-4b61-a72b-ea36992a330d,Relais
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,27dfe574-91e7-4aa7-81fe-4412473550d7,LED-Anzeige
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,13d30a59-607b-4205-9d1d-83119fcf4478,Knopfzellenbatterie
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,cbb2ac9b-b8bc-4ec8-b0c6-768ecd0c47e7,SD-Kartenleser
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,e1ad05e5-8f7e-43d1-a862-80571f2ffffd,USB-Anschluss
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,bc065476-9c38-4efd-b6bf-b612db49d348,Antennensystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,2faca44b-354d-4322-ad7b-ab550897d653,Signalverstärker
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,549a63c0-a677-4517-899f-bdef5c58c7e5,Schutzgehäuse
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,a1f78a99-6461-4ea3-9a0c-08a946a3e31a,Kühlkörper
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,b6b9208f-47ec-4216-9b66-173549905667,Feuchtigkeitssensor
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,9550af3b-1047-40fe-825f-59b365aafe65,Schraubverbindungen
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,9b3527be-4ac5-4ec4-ad6d-98f8f7112d26,Steckverbinder
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,8460277b-5b09-4ef5-a5e5-cafa99b2574c,Kabelbaum
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,44be3e49-8ad8-4f6d-8c6f-5b24d9d01865,Schutzschaltung
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,25918555-46e5-493d-aaeb-7158ad5f1667,Isolationsmaterial
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,25a861d9-d2ac-42e8-a6b6-e4fd3dbf6b33,Montageplatte
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,82052e87-cf74-4a9e-bb46-7884a62b0088,Schrauben
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,a0ee86b0-8345-463e-a661-27e9dd0c2bf8,Halteklammern
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,00679552-2d30-4fca-853c-5abd182b8528,PCB
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,f2c0bbde-d8d1-4f69-9741-a6cc881538ca,Schutzfolie
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,d2c425bd-9842-4e8d-a7e0-79b605e1dca2,Firmware-Update-Manager
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,4aa95c80-034f-4ff5-ae36-07b45bf72a34,Rollback-Algorithmus
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,899c6f32-7e78-44ba-8260-370afa9f2258,Fehlerprotokollierungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,3e57b3b2-9d7e-4009-aee5-faad38cf193b,Authentifizierungssoftware
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,ed0756b9-8ba3-45b5-8560-7d5bce07e100,Versionskontrollsystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,1a10f734-525b-4760-8ad3-de566549af81,Update-Validierungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,76167ba5-ed15-46bd-8bcb-820cd85688c0,Kommunikationsprotokoll
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,314d746e-d77c-46b0-9b94-cc3a0b9fb485,Netzwerküberwachungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,07b85890-0254-4830-9e34-0be8606dd689,Diagnosesoftware
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,61fd1b40-b5a7-4b89-9564-722b2c68bbdc,Speicherverwaltungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,3ddc748d-0058-4f0b-9d34-94e5bdccd3c3,Backup-Managementsystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,0eb0554d-b5e9-43d8-9edd-6d440c6108c0,Reboot-Managementsystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,7e292865-9694-4fcf-9205-01499a73b554,Fehlererkennungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,29764453-ce94-41e0-9a65-94009ddd9d73,Integritätsprüfungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,4642f6ed-8d63-4787-8009-815fedbdecfe,Update-Paket-Parser
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,c85b0455-e2a6-43af-b736-301fa17e574a,Update-Installationssoftware
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,ca7bbdca-43b2-477c-823a-0d69545df361,Rollback-Trigger-Software
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,adbc3f67-f003-41ba-bc6c-7aca3424e945,Software-Sicherheitsmodul
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,3601c1fc-5732-46f7-9da0-5ad9a98181d5,Update-Status-Tracker
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,28a5066c-71cf-453a-9a05-e914f8505b10,Konfigurationsmanagementsystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,55f880af-88da-4707-8a1b-3d738d8bda62,Software-Schnittstellenmodul
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,863f2a09-1f89-4b29-a801-c1f05caee569,Protokollierungssoftware
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,ad7b3b47-81b9-484b-b3a7-c3b1cc732aa3,Fehlerbehebungsmodul
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,d33f9b0d-f390-491c-9e64-2194797750a2,Software-Validierungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,2f5e7a06-830e-4f9b-a14f-9524466f59ab,Update-Planungssystem
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,fd7522dd-90cf-4a68-8e2f-b0d9fb48234c,Software-Kompatibilitätsprüfung
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,cff01a7f-b183-4fb2-ba6d-25b2539596d7,Update-Download-Manager
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,8079be5c-30f3-44f7-945a-96035a493d54,Software-Entschlüsselungsmodul
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,efc72745-b798-42aa-b7b5-b1f0abfe89f1,Software-Authentifizierungsmodul
Infotainmentsystem,OTA-Update-System,Rollbackmanagementsystem,e5916ca2-1d86-4852-b0f1-61e116201597,Rollback-Status-Tracker
