Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Navigationssystem,Routenplanungssystem,28770563-904e-4aba-8709-5fdeeb9b747d,GPS-Antenne
Infotainmentsystem,Navigationssystem,Routenplanungssystem,757ffe7c-8ae7-402e-a07d-0041f98e20d3,GPS-Empfänger
Infotainmentsystem,Navigationssystem,Routenplanungssystem,0045f7fd-1581-4a51-b403-538408959435,IMU-Sensor
Infotainmentsystem,Navigationssystem,Routenplanungssystem,6c63d89e-0c1c-4bf5-bb0c-f04d920da07b,Barometer
Infotainmentsystem,Navigationssystem,Routenplanungssystem,46d27fb8-097c-4c3d-9e8f-df33e167b4f3,Magnetometer
Infotainmentsystem,Navigationssystem,Routenplanungssystem,53d7be1e-399e-4b90-a7e0-888384ec1692,SD-Karte
Infotainmentsystem,Navigationssystem,Routenplanungssystem,947d9d0c-dc7d-4519-b2b0-22fe50b113d9,Flash-Speicher
Infotainmentsystem,Navigationssystem,Routenplanungssystem,5448ee00-92a8-4265-8845-93c02773b31f,CPU
Infotainmentsystem,Navigationssystem,Routenplanungssystem,f401fb6e-fbfd-4373-9361-b8d4d3a4fdd5,GPU
Infotainmentsystem,Navigationssystem,Routenplanungssystem,eb3ee147-f321-4877-a255-e19c76d3869e,DRAM
Infotainmentsystem,Navigationssystem,Routenplanungssystem,722f3691-4521-4291-907c-0b072c250b9b,ROM
Infotainmentsystem,Navigationssystem,Routenplanungssystem,e78ed9ac-09dc-46af-96b5-89aa4b1107d1,Display
Infotainmentsystem,Navigationssystem,Routenplanungssystem,c2850b2a-7f62-4857-8265-0bae50ba5a23,Touchscreen
Infotainmentsystem,Navigationssystem,Routenplanungssystem,6cae163a-c02e-432d-b501-a258bb5ba5c0,Knöpfe
Infotainmentsystem,Navigationssystem,Routenplanungssystem,b28d5f91-1f03-4d80-9154-f098a9fa78af,Drehregler
Infotainmentsystem,Navigationssystem,Routenplanungssystem,30ebdbe9-fc6f-4e1c-8361-3292af2edccc,LED-Anzeigen
Infotainmentsystem,Navigationssystem,Routenplanungssystem,0b9e0049-a6af-4fdb-a12a-b7c1bfe62fe0,Lautsprecher
Infotainmentsystem,Navigationssystem,Routenplanungssystem,39ef4db1-06fa-4bf9-9613-59eb9b42f81a,Mikrofon
Infotainmentsystem,Navigationssystem,Routenplanungssystem,708befa4-0ad2-4c8d-af88-3fa66b504ad7,USB-Anschluss
Infotainmentsystem,Navigationssystem,Routenplanungssystem,1767a341-cb6d-4ecf-9686-d67cb94ba3de,SD-Kartenleser
Infotainmentsystem,Navigationssystem,Routenplanungssystem,e93e3f5e-1cd7-478b-8d9f-124322e0d31a,Wi-Fi-Modul
Infotainmentsystem,Navigationssystem,Routenplanungssystem,bae546ef-0852-4e0c-9285-e66428e8ff31,Bluetooth-Modul
Infotainmentsystem,Navigationssystem,Routenplanungssystem,ecec138b-4870-4b26-82a4-2056dfd908ad,LTE-Modul
Infotainmentsystem,Navigationssystem,Routenplanungssystem,de0a48e9-ae61-4f88-bf57-bd4e33bdeb26,5G-Modul
Infotainmentsystem,Navigationssystem,Routenplanungssystem,e5fdf591-c8f2-490d-b579-b5aa4373ae27,GNSS-Chip
Infotainmentsystem,Navigationssystem,Routenplanungssystem,3054487d-f681-4005-83b4-818d1503457f,Temperatursensor
