Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,ec2e758b-850a-4fab-b83e-b01b6068982e,Sensor für Lenkwinkel
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,ce040f7b-03aa-4339-8a1b-bc2586f08741,Sensor für Rückstellmoment
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,5375c654-1b1c-4756-a51a-fec037686183,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,a3c7b4e8-5d75-45f3-89c7-0e0b7afcaa0a,Sensor für Querbeschleunigung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,d3a08975-5189-4452-b44e-daee2d703834,Sensor für Längsbeschleunigung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,0621ab8e-7e62-4e86-ade3-4b7ea7be4888,Sensor für Radgeschwindigkeit
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,0fed8e42-47fd-4d6e-9795-27503fe239b8,Sensor für Lenkradposition
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,9d9a107e-0b85-47ec-9dd9-a425099aed3f,Sensor für Lenkradkraft
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,17bf5b44-832f-4cb3-a746-26e4d5d43527,Sensor für Achslast
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,f929bb41-ef63-4187-ab33-9ebd8dba0b5a,Sensor für Fahrzeugneigung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,d1d14c9f-0bc0-49e6-aa96-5ee6c86dc0fd,Sensor für Reifendruck
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,c9f8ee07-fb8c-49e8-bbd1-f78ca1a7394b,Sensor für Lenksäulenposition
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,ebc17c63-1acb-47b8-998a-fca760698711,Sensor für Lenksäulenverformung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,2424b058-cba3-4dda-bf98-b50b1983b858,Sensor für Lenksäulensteifigkeit
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,fa39f4cc-0300-49aa-8f91-5b78b69fcc92,Sensor für Lenksäulenreibung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,576291f2-1392-4e2b-bfc1-337042639ab3,Sensor für Lenksäulenverschleiß
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,d02dcf55-0656-4267-8bea-15b5998a61d2,Sensor für Lenksäulenmaterial
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,8e971909-d617-42ec-afb1-0ea11167d44d,Sensor für Lenksäulenlagerung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,7ce84502-946e-40c1-aaca-4f49838407b6,Sensor für Lenksäulenverbindung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,6da7410a-f883-4a85-a644-252ac37b28df,Sensor für Lenksäulenmontage
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,e656103e-0d5d-47e9-a18b-0d2c0a2d95eb,Sensor für Lenksäulenjustierung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,01419719-7f93-459c-8b0e-460c3f3c2460,Sensor für Lenksäulenstabilität
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,e425cf35-dc10-4d66-a297-ab6b382d4aa1,Sensor für Lenksäulenbewegung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,36204047-7ff6-403e-9a54-e502324b4c45,Sensor für Lenksäulenwiderstand
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,015b4a40-4b2c-4df7-92c4-1102bf0965c3,Sensor für Lenksäulenflexibilität
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,d719003f-dbb6-404f-81d8-5dbfbb371810,Sensor für Lenksäulenverformungsgrad
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,407957a3-824a-41e9-8771-93ae7cbfb173,Sensor für Lenksäulenbelastung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,ba444d7d-2ec8-40ca-8a17-a466f863f106,Sensor für Lenksäulenreaktion
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,4348dc15-c848-4a26-8d9a-59d62ca53b26,Sensor für Lenksäulensteuerung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,98d918ad-b593-4a5b-8314-47303b8d1bd5,Sensor für Lenksäulenoptimierung
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,f309dbaa-2364-484c-bd59-738899d342a3,Rückstellmomentsteuerungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,7ed3b6ed-4ef2-468d-9631-f49c633b1ded,Lenkwinkelregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,889aa5ee-6865-4054-8351-8932aca98b73,Fahrzeugdynamikregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,52e4f233-3478-4e91-9673-e000b5c2ab48,Querbeschleunigungsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,ab1405ce-2817-4982-b7d1-4264ee0a44e7,Längsbeschleunigungsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,9adacbef-0da0-4094-92c2-2aac84dbbeb6,Radgeschwindigkeitsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,c2f6ca41-1113-4d34-ac57-75859c2f9e22,Lenkradpositionsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,02c199f5-991a-4a1a-8f29-2611135c0d26,Lenkradkraftregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,d85f001e-e355-4882-8974-4d5b32f353ec,Achslastregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,a8580439-20da-4819-b6e8-7d3dba8810ad,Fahrzeugneigungsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,43c641c1-1192-4ee3-ab31-df19f50a0ea6,Reifendruckregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,77b2077f-c4f3-4475-9998-5ba5c30f1bf8,Lenksäulenpositionsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,2c377c5f-dc2c-4dc6-b10a-a91d798081d7,Lenksäulenverformungsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,ddebd249-cf29-450c-9c18-2e87f89f18f4,Lenksäulensteifigkeitsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,9391e409-de26-4fa8-b3a9-6a3595698dc4,Lenksäulenreibungsregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,a6581bab-943d-4f14-8703-1fdf41b8e5a9,Lenksäulenverschleißregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,1879aff7-4349-462c-8c5d-a2a5fa68e4d1,Lenksäulenmaterialregelungssoftware
Fahrsystem,Lenkungssystem,Rückstellmomentsystem,bd04594a-0785-4d0e-946e-66e5e40aff1e,Lenksäulenlagerungsregelungssoftware
