Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Zugangssystem,Schlüsselzugangssystem,cb4759e0-06fd-4d31-8ab0-3c28b4bd10a0,RFID-Antenne
Bodysystem,Zugangssystem,Schlüsselzugangssystem,3ac2f248-986c-4e80-879b-41e7aff46def,Schlüsselsender
Bodysystem,Zugangssystem,Schlüsselzugangssystem,840e4c49-2bf3-4d77-914a-de88116754fe,Batterie für Schlüssel
Bodysystem,Zugangssystem,Schlüsselzugangssystem,255517bf-2659-4ad7-ab05-b8690d8a1f25,Empfänger-Modul
Bodysystem,Zugangssystem,Schlüsselzugangssystem,0ce3903f-93a2-4455-889b-585031765f76,Transponder-Chip
Bodysystem,Zugangssystem,Schlüsselzugangssystem,24b2e35e-e8df-4413-a90e-582e0493c2fc,Signalverstärker
Bodysystem,Zugangssystem,Schlüsselzugangssystem,374dbe93-a9db-4702-8e5f-18ea31964295,Schlüsselgehäuse
Bodysystem,Zugangssystem,Schlüsselzugangssystem,ca6d3de2-7d51-4ddc-98ac-6a584bd24594,Knopfzellenhalterung
Bodysystem,Zugangssystem,Schlüsselzugangssystem,a9d4cfaa-1d87-4f1b-b947-aa3d3f60faca,Schlüsselknopf
Bodysystem,Zugangssystem,Schlüsselzugangssystem,0ff34c1b-1532-4023-be21-73f675c41d1f,LED-Anzeige
Bodysystem,Zugangssystem,Schlüsselzugangssystem,cb1ecf21-0b57-45d3-9550-9ca10b3c0c28,Schlüsselplatine
Bodysystem,Zugangssystem,Schlüsselzugangssystem,fcf4dc67-387c-4b8c-83ae-3edf8f7c6472,Schlüsselmechanik
Bodysystem,Zugangssystem,Schlüsselzugangssystem,29d6f071-bd50-4220-907d-648e35021a0d,Schlüsselspule
Bodysystem,Zugangssystem,Schlüsselzugangssystem,62fa0acb-b839-4418-8a8c-0028057d60c8,Schlüsselkontakt
Bodysystem,Zugangssystem,Schlüsselzugangssystem,9a17f9a6-6ab3-411e-b3b5-0af353393183,Schlüsselhalterung
Bodysystem,Zugangssystem,Schlüsselzugangssystem,5daada8a-8516-42fb-82a4-bdd9363a5359,Schlüsselring
Bodysystem,Zugangssystem,Schlüsselzugangssystem,244dfbc6-c06a-4f3b-9658-516d9c49ba22,Schlüsselgehäuseverschluss
Bodysystem,Zugangssystem,Schlüsselzugangssystem,ec847cf6-4e07-4951-b7af-91f765e0bc05,Schlüsselgehäuseabdichtung
Bodysystem,Zugangssystem,Schlüsselzugangssystem,5229a3c2-47ce-4280-a964-621b47f9f2a8,Schlüsselgehäusematerial
Bodysystem,Zugangssystem,Schlüsselzugangssystem,63489c49-94c0-41d2-bec0-1da508f3c3a7,Schlüsselgehäusebeschichtung
Bodysystem,Zugangssystem,Schlüsselzugangssystem,d3aaf396-d401-4d46-885b-2c6d33491f97,Schlüsselgehäuseform
Bodysystem,Zugangssystem,Schlüsselzugangssystem,ec3efc0e-99db-47a3-b9e4-bae4cc5e7c5f,Schlüsselgehäusefarbe
Bodysystem,Zugangssystem,Schlüsselzugangssystem,67649f92-8699-4937-ba3e-abf907c472d9,Schlüsselgehäusegewicht
Bodysystem,Zugangssystem,Schlüsselzugangssystem,07faad8b-d340-4e98-882e-6f1fd9d7f7b3,Schlüsselgehäusegröße
Bodysystem,Zugangssystem,Schlüsselzugangssystem,339b5c24-b963-4c64-b35c-c2a076466672,Schlüsselgehäusehaptik
Bodysystem,Zugangssystem,Schlüsselzugangssystem,0c715b18-2702-4daa-980c-3900026c2f0b,Schlüsselgehäusedesign
Bodysystem,Zugangssystem,Schlüsselzugangssystem,90a46906-88cf-483d-9f9b-d8cea62c6163,Schlüsselgehäusestabilität
Bodysystem,Zugangssystem,Schlüsselzugangssystem,769a6531-575b-46cd-a3c2-25058aa9634c,Schlüsselgehäuseflexibilität
Bodysystem,Zugangssystem,Schlüsselzugangssystem,eb04a44d-7e4d-4267-8ea5-0aee3f2cd62e,Schlüsselgehäuseisolierung
Bodysystem,Zugangssystem,Schlüsselzugangssystem,72a0551d-ea9d-4749-a7a8-ff5f09ac34f7,Schlüsselgehäusewiderstandsfähigkeit
Bodysystem,Zugangssystem,Schlüsselzugangssystem,30488ec7-9291-414d-b963-96a88e37aacb,Schlüsselzugangssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,037949a6-d0a5-4548-9a22-94d1e2164b42,Schlüsselauthentifizierungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,b0f17b94-eb1b-47f9-9fa3-3eec5c472e1b,Schlüsselverschlüsselungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,927a89ce-e71f-4542-a980-e5a6e8dc6cc2,Schlüsselentschlüsselungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,d58bdc56-3a51-429e-b412-b7f5e5bd63fa,Schlüsselkommunikationssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,06cf2d4e-c3f1-4b14-9b7b-c44fff618a17,Schlüsselprotokollsoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,2cc1bf88-8a80-4b39-b538-0cc6695d3661,Schlüsselidentifikationssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,f4f4311a-6683-4476-ae47-b6e59e873c49,Schlüsselvalidierungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,32a764e4-4178-4d00-8910-0be69d7f59c2,Schlüsselregistrierungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,7e04bed6-49d0-4627-96eb-6722aeae508c,Schlüsselmanagementsoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,d8996e55-a1f8-4fac-9cc0-b71794e353cc,Schlüsselkonfigurationssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,c1be42bd-4f81-4c20-ad04-694e16a86c89,Schlüsseldiagnosesoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,bc704702-4026-4c46-9380-ce33c1e418f6,Schlüsselaktualisierungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,77ead368-d90d-4845-932e-3bcdf9febba8,Schlüsselüberwachungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,b48bdb89-961b-4896-85d3-afa6cb9d210e,Schlüsselpriorisierungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,fe6460c8-19f6-4286-969a-558baf379848,Schlüsselzugriffssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,27ceb418-9d24-4570-a79c-e559b1512570,Schlüsselsteuerungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,e31c7a2e-2db4-49df-b935-ba9a9f3ceb0d,Schlüsselinteraktionssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,e282d1fd-c3ea-4a2d-9fda-1eb12fd2b178,Schlüsselbenachrichtigungssoftware
Bodysystem,Zugangssystem,Schlüsselzugangssystem,b2506c4b-24b8-4cee-ba7a-26ac9905cacb,Schlüsselfehlersoftware
