Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,e20eb694-8747-4db2-b887-49be2ac03fee,Lenkmotor
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,05a23a27-e277-4c3b-9b15-15ab3ec4205e,Lenksensor
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,bd4437d1-efa5-4868-b578-66b7966e0d5a,Lenkgetriebe
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,7620b56c-2333-46bb-9033-12a70291bb3b,Lenkspindel
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,94b53b47-ae38-4976-b136-93a8d3789d36,Lenkriemen
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,96e80863-c01b-4de4-829d-85f81838c022,Lenksteuergerät
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,6e3fcd55-49e0-42d6-8410-15febaaaf410,Lenkpositionssensor
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,0be7383c-fc7c-4494-8116-71d2eaac7463,Lenkwinkelgeber
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,57fc2b06-43bf-4309-abc6-52e9b62b423f,Lenkdrehmomentsensor
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,e9effacb-c57c-4dec-a9dd-ff7bee7a6672,Lenkassistenzmotor
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,85ee8900-8173-4f76-810a-3f439e28bde1,Lenkassistenzsensor
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,d6e92cf3-9e7c-4348-aabb-5f706889245f,Lenkmechanik
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,ab1a76a9-13b7-4123-85d9-d06205670897,Lenkarm
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,d2b03ddb-4d35-49e6-8f4f-be0de06da845,Lenkhebel
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,9b4b23ca-00c0-4c9c-b49e-8d63c1c6d609,Lenkachsenlager
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,eb26a017-1e72-45e4-abf8-0061a2d2edc8,Lenkachsenkupplung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,4f11da79-2e53-48bd-ae4f-6a4fd16c1e7a,Lenkachsenhalterung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,b3db49cd-cd55-4fe0-be52-197d2e4645b1,Lenkachsenverstärkung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,5089ddf7-746b-4cf1-8fb1-9c7199dc0a31,Lenkachsenführung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,6b258d4b-8044-407f-9ccb-f68f1ae04f7a,Lenkachsenabdeckung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,873b8b4c-5aa7-4653-9466-3269ff8faf38,Lenkachsenisolierung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,98af422e-28a0-4eb5-b209-d185b55d2b78,Lenkachsenbefestigung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,d049bb78-3152-47d9-bb4a-9484f9f8db02,Lenkachsenverbindung
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,a33228ec-6850-4487-ab53-ae8662af3b75,Lenkachsenstabilisator
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,04387b40-06c8-4a46-81e3-a99d90aa3809,Lenkachsenadapter
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,aa64bad6-c66f-4c8e-9969-77c9462571f3,Lenkachsenmodul
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,048aa01a-97d3-49f5-b1e7-50062be231ff,Lenkachsenkabelbaum
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,5bf7792f-2a71-4e56-9dd8-0d8630caf724,Lenkachsenstecker
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,292d8015-c484-4162-915a-ea48d67370a5,Lenkachsenklemmen
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,8bfa62a6-72a1-4ab1-a9ac-387353546416,Lenkachsenmontageplatte
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,099262c0-b600-4b23-a54c-f2bd79158375,Lenksteuerungssoftware
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,5840200b-bb63-4d78-bbd7-ed86d155ccd3,Lenkwinkelregelungsalgorithmus
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,ca881203-7d2e-4b6a-8b83-04fed3b2a7ee,Lenkdrehmomentregelungsalgorithmus
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,a3c665ef-cd41-461b-be61-37c2c85fb5fa,Lenkassistenzregelungssoftware
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,861858f1-4825-4744-9564-f69443559353,Lenkpositionsüberwachungssoftware
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,ee519037-250b-494c-ad31-f7375a1e8fd9,Lenkdiagnosesoftware
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,b952b041-d227-4514-92c4-9dc52057db39,Lenkfehlererkennungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,b5fabf5a-9305-4df8-b991-4cb5c77e485b,Lenkdatenerfassungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,687a6670-4c6f-47f4-83e3-a2a8f4050abe,Lenkkommunikationsprotokoll
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,be656b6e-fb92-4f6e-ae3f-7abb3ffa0924,Lenksoftwareupdate-Modul
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,e814ebaa-ccde-4a74-b159-44ab469e028a,Lenksoftwareauthentifizierungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,04d123ec-ac6a-4271-a77c-ca58431a139e,Lenksoftwareoptimierungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,fa15f834-cfe5-4f12-9dbc-15b42857515b,Lenksoftwareprognosesystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,284643c1-3020-4be1-861b-d4f76e4a2443,Lenksoftwarekalibrierungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,73812811-bcc5-495a-8ae2-54ec5e99b5ac,Lenksoftwareintegrationssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,14afad2f-50bb-4301-b007-60748ffcafe3,Lenksoftwaretestsystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,9049b3d7-0801-4271-8170-469d740aa237,Lenksoftwarevalidierungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,ef2c76d6-0470-4c22-a5f0-3fec1b8d33f8,Lenksoftwareüberwachungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,e3baf44c-def4-4577-b7e5-a14da6b6cc79,Lenksoftwareprotokollierungssystem
Fahrsystem,Lenkungssystem,Servolenkungsantriebssystem,40d1c74f-be94-4dd1-9fc3-73be605b7160,Lenksoftwareanalysemodul
