Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,dc54948d-7412-4bbd-b31b-c12fa5cac76c,Lüftermotor
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,971b4746-e22a-4c7b-a9f4-067db0cfc498,Lüftergehäuse
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,0d76bddc-1d4a-4000-9dda-a6d4ab7e8819,Luftkanal
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,5a670698-0274-4e44-a889-09b01311c665,Luftfilter
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,bd5b01ea-871b-41ca-9f51-c6f9d795a11f,Luftauslassdüsen
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,4bec9645-c95e-4e3a-8bfb-28bc3752d331,Temperatursensor
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,978934b0-4301-424d-9abe-ff2e905369d8,Feuchtigkeitssensor
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,a50da774-f175-412e-b6da-89feb0f7f7df,Drucksensor
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,6ae64ab3-c361-4f43-96ff-82394b7f050b,Steuerplatine
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,8d49e8b7-6e3e-4f3d-8712-9df762aedc44,Kabelbaum
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,67393b40-bc48-4e13-a33d-428d27d70873,Relais
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,21f8baa6-6da8-4ff6-a02a-f1d9afc205aa,Spannungswandler
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,32211e1d-df7e-4144-bc75-3c574c2c0ead,Schraubenhalterungen
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,7f7864af-23bf-4963-8711-1be14b113581,Montageclips
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,53271fbb-549a-44f6-a3d2-f872b41a36f4,Isoliermaterial
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,e1cbe1ec-b79f-4630-99df-1f480269c3b8,Schalldämpfer
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,75122f8b-8ad4-48ca-bc5e-f560bed07b71,Schwingungsdämpfer
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,b92f1d5e-51c1-4c68-937e-96b489e1f750,Steckverbinder
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,4d5603aa-a590-4fa3-9aa1-b1919c94c090,Leiterplatte
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,eafc7cab-4cb3-4630-af44-2abadc7087b2,Kühlkörper
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,027d897d-7c88-4a88-9646-0e581f70ea39,Heizelement
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,35e1e1c8-7eb2-4488-8087-7a8cd354c34c,Schutzgitter
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,3cddd7e8-7710-4d93-bec1-4bb8349a6779,Abdeckplatte
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,7feda90f-62e0-44fa-86cc-ff23ae65525f,Montagerahmen
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,7838cc41-84c5-431c-81e5-a221f2793377,Schrauben
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,786747c0-7992-48bc-9299-87a86ac95f14,Steckkontakte
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,5ad93280-1130-411c-a6ff-52e3dedaa0c2,Schutzgehäuse
Bodysystem,Sitzmanagementsystem,Sitzbelüftungssystem,541c706c-2819-48ef-87cf-4a960626de0e,Schlauchverbindungen
