Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,31b9cdda-0df5-4913-ada9-cf9972e8ee76,Sensor für Sitzposition
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,7fedf168-782f-43bd-bf62-1ac00e8091ae,Motor für Sitzverstellung
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,c5a4c573-615c-44be-9010-e1c75bd6d0c9,Encoder für Sitzmotor
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,86bb97e3-04a5-4eb4-bd39-1adf13a5bf49,Steuergerät für Sitzverstellung
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,912b2482-48d8-4fdf-9fe0-263f0583453a,Stromversorgungseinheit
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,51c4810f-6568-4374-9d58-1e93418a1f59,Sitzpositionsspeicherchip
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,c570ee5b-a121-4537-b356-5b646fbfc672,Relaismodul für Sitzmotor
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,e1e9c77d-f6cd-4a1f-b20a-f842c0f4a824,Temperatursensor für Sitzheizung
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,beb678ef-3269-4950-bbb7-ef4d712394e2,Verbindungskabelbaum
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,277425c6-4952-4ae8-8e54-f265b6254d88,Steckverbinder für Sitzmodule
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,44473482-7549-483c-814a-7d777ad7a5f3,Schalter für Sitzverstellung
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,3e1baa37-42b1-4167-8a4a-c87a7492a735,LED-Anzeige für Sitzstatus
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,5e54cc95-2e42-47e1-b6e3-610c24e606cd,Spannungsregler
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,e17459c8-c110-4967-a434-f3d2c4152f63,Positionssensor für Sitzschienen
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,78e7d4ad-ffb6-483a-a67e-a0f549d4cb1d,Mechanische Sitzschienen
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,029f1402-55ba-4c12-8a29-ab80c2de2d7e,Motorsteuerungsmodul
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,6df83e0f-6f08-4469-8692-8f3875b04dfe,Isolationsmaterial für Verkabelung
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,c9e74f3c-d445-4cec-a406-0a5da502993b,Montagehalterungen für Sitzmodule
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,bea84000-92c0-485c-a7dd-429e10a43bba,Schutzgehäuse für Steuergerät
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,9e88292b-2b41-4140-a141-c9d6ab21f01c,Diagnoseanschluss
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,35ff81e1-1564-4f0a-93b8-0809a98d81fd,Kommunikationsmodul für CAN-Bus
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,7765dd89-a335-4edc-a79a-5f6f056dafe4,EMV-Filter
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,6d7abbf9-91be-4e75-a89d-3c544ab542fb,Backup-Batterie für Speicher
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,d80faffb-560e-4994-9630-3aa2c6964746,Temperaturfühler für Sitzkomfort
Bodysystem,Sitzmanagementsystem,Sitzpositionsspeichersystem,bf7bae8a-9e4a-4d30-a505-b5912be4f094,Schrauben und Befestigungselemente
