Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,7e20f8dd-3f80-497e-891e-ff85f512dc14,Sensor für Sitzbelegung
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,d1566305-301f-415e-80b8-bbad9e93906e,Sitzpositionssensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,16edda88-5665-4d9b-8841-5197ca9a81cb,Gurtstraffersensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,ccbab123-18c7-4c38-9760-d964b27ba3b1,Gurtkraftsensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,b3397c23-7926-4e68-8956-5ec04378b1ac,Sitzheizungsmodul
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,53803480-f9a5-4d9e-bc2e-d89f75b1180f,Sitzbelüftungsmodul
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,13d27df0-b9fa-41aa-8479-ca2fba5a6511,Sitzverstellmotor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,98bbe119-e6b2-4ae1-a497-6b0819f02825,Sitzsteuergerät
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,19635a49-0caf-461c-8915-034184f44336,Gurtwarnleuchte
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,e6eddd72-76df-4bd0-87b7-7f789e6f1f40,Gurtverriegelungssensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,598c8afc-2911-4f54-8061-054739ed4644,Sitzrahmenstruktur
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,58b007a2-1c9e-4136-8c9e-f33be7353549,Sitzpolsterung
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,4ba6520b-5377-4551-b92f-c5c7fdf55624,Sitzkopfstützenmotor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,4d034ff1-0cdd-47b6-89a9-fe7f189a3275,Sitzkopfstützensensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,7c87af47-8c50-4dde-8546-3b43ac87fe1d,Sitzseitenairbagmodul
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,e8539f80-6363-4857-a0c9-69b727699d52,Sitzseitenairbagsensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,c27e4317-607a-4abf-ba10-6790a6786513,Sitzkabelbaum
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,2e62be20-421f-4543-a828-666b04f7045b,Sitzsteuerungsschalter
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,e9b70657-5bdd-41e0-a817-01eb33bae94b,Sitzspeichermodul
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,8c3e9ab6-2062-495b-ae5f-c817c37b8dc4,Sitzklimatisierungssensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,93f96d71-6e0a-4aa5-add0-f8aaf7ffe65d,Sitzvibrationsmotor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,e6cdf6f5-a257-4e55-8b66-a3a43aa131ee,Sitzvibrationssensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,024afb71-97fb-4455-826a-ce3f7e2e3123,Sitzneigungssensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,d0d2df7a-7467-4e28-b7ff-38e5fd8890c7,Sitzrückhaltemodul
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,7f60b1b5-3d80-4a0e-917d-a41fc0f0732f,Sitzrückhaltesensor
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,6a454ce6-e1f7-4b52-8761-0faece454c88,Sitzpositionsspeicher
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,0eff518c-5958-4c61-906a-311ad8500fcf,Sitzverstellungssteuerung
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,22811c67-5bba-41bf-ad0c-884b03bd9dd9,Sitzheizungssteuerung
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,7c7c5403-e7ab-49f3-89e0-27cf3aaff613,Sitzbelüftungssteuerung
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,97460f44-0bd2-4400-a836-462f48058a54,Sitzsicherheitsmodul
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,8cfdaa9a-f7fa-4151-80d5-20c231b285c5,Sitzsicherheitsüberwachungssoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,bbdd99e9-1cb5-4310-bc91-9643883847cb,Sitzbelegungserkennungssystemsoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,0d249c17-5bef-479f-86b7-d2220f20adfe,Gurtstraffersteuerungssoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,8432abea-a229-49f0-be60-a9af608d8547,Gurtkraftüberwachungssoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,b22e2c14-9333-411c-8b96-3679719470b7,Sitzpositionsspeichersoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,63983823-f063-459d-bc59-08cb93ec8a66,Sitzverstellungsalgorithmen
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,6763505e-82a7-4b19-a1ca-e95494611582,Sitzheizungssteuerungssoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,cb492724-2e47-42eb-b160-c529e75848b4,Sitzbelüftungssteuerungssoftware
Bodysystem,Sitzmanagementsystem,Sitzsicherheitsüberwachungssystem,7d2018d7-ed4b-4cdd-9e8b-02ddb2f52435,Sitzklimatisierungssoftware
