Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,49db6ac1-47fb-49bc-a259-58efad91f5fb,Motorsteuergerät
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,846e06c6-d6d6-434b-890b-083fbcd216d8,Positionssensor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,d971e327-b1d5-4002-b846-2f006ef1b560,Sitzverstellmotor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,fa9f955f-55a4-4319-8c44-e08bd3f63a5f,Sitzschienenmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,23761d7c-c380-4879-b4ff-cab6b1a6fd2b,Sitzverstellhebel
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,945c59fe-9fed-4efa-8d50-7479c468ace9,Sitzverstellknopf
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,823486b6-f901-4eaf-b758-79273f30d16d,Sitzrahmen
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,541df75a-6be6-451d-afca-1c11f835a801,Sitzpolster
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,f3a4e077-eed7-4868-86f1-f2f0945b9d1d,Sitzbezug
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,9af24f01-622d-4d00-ae80-6c4870737939,Sitzheizmodul
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,c3e27265-6268-4295-ab86-e3f3cbf67c2c,Sitzkühlmodul
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,51327ccd-0ff3-4c7d-a630-6eef4aa6f41d,Sitzbelüftungsmodul
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,5de8f010-d650-4683-9536-9c9bc3ce527c,Sitzspeichersteuergerät
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,45d7f6cf-fe1c-45fd-911a-b01d2cff7208,Sitzpositionssensor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,21fa845d-683d-4ab6-b7df-e558270beb19,Sitzneigungssensor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,89284bce-0a5f-44e6-8c71-1e31e4f8a227,Sitzhöhenverstellmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,47ce704b-3cf9-4274-ae6c-8e330308e748,Sitzlängsverstellmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,627e9b21-32a1-460e-aaf6-fbadaaeb7f7b,Sitzlehnenverstellmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,66c40b2a-6691-4cec-be5a-9578deea5b69,Sitzkopfstützenmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,0ef6ee03-9b88-4139-889a-c3255610b28d,Sitzkopfstützenmotor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,19289643-b79b-444d-b774-e8052af24cdf,Sitzseitenstützenmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,879afb2e-e04b-4867-ad87-99ca8b8e644d,Sitzseitenstützenmotor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,7235a7e3-f691-430c-91b8-4397b4689ac7,Sitzrückstellmechanik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,380fdeb3-165f-486b-b781-995904424ae8,Sitzrückstellmotor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,f383d050-058e-4042-b3a7-eaae6824cde9,Sitzsteuerungskabelbaum
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,9ac7cfe3-e492-4069-9f5d-d99d0a6e0f0e,Sitzsteuerungskonnektor
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,442a42c1-a25d-490d-ab7a-0900c9d4f79c,Sitzsteuerungssicherung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,badb74dc-e787-4679-8418-da8e616de3f8,Sitzsteuerungskühlkörper
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,2b4176b4-4a6a-4b7f-9b0c-d6383171d703,Sitzsteuerungshalterung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,7907f28a-8f20-47d1-8e93-79581b001345,Sitzsteuerungsschutzabdeckung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,4aebb8b0-f1d7-45a4-876b-02fbb202fe83,Positionsregelungssoftware
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,4ce7b784-123d-44c3-a6b4-41f79204cd23,Sitzspeicherlogik
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,4a4a9a21-f1bd-4bb4-ac1d-9d76fc0b0bf5,Sitzsteuerungsalgorithmus
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,5c3e97ef-3b6c-438f-b7ef-6fb7df62e854,Sitzpositionskalibrierung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,4a7f6bb0-e4bd-4594-86a4-c44260d9e730,Sitzneigungsregelung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,115c5e7b-bc84-4cb1-94ea-e1228fe786c9,Sitzhöhenregelung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,ca01fb92-056d-4a84-929f-60f78f05012a,Sitzlängsregelung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,e7234536-95df-43f8-ac2f-04b8c6b6d24a,Sitzlehnenregelung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,764d5241-85a4-48ee-b925-79e3811d2449,Sitzkopfstützenregelung
Bodysystem,Sitzmanagementsystem,Sitzverstellsystem,d65451d3-9dc7-495a-afd7-21aabb5dadcf,Sitzseitenstützenregelung
