Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,6dd3732e-c5d5-4ad5-89f9-773699386ee7,Hardware-Komponenten: Prozessor
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,0dc65e9d-154e-455b-914e-d29bd026ca3d,Speicherchip
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,339789f3-dece-4ad7-bf40-7e78bf2f058c,Kommunikationsmodul
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,79058a4e-8794-4a42-ab9b-7e8db99389f2,Bluetooth-Antenne
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,e9cd579d-34fa-4bda-a4e4-1ebee1e0791d,WLAN-Antenne
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,98b99fcd-5eaa-4808-8ee7-abc717a8b8c4,USB-Anschluss
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,a2e1242c-cc25-4644-b2ee-8032281ad7b2,Display-Controller
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,98399d33-76e7-4b53-8b0d-941a35b82380,Touchscreen-Sensor
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,9e634978-4494-4466-9a2c-d3e82e60ac10,Spannungsregler
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,780d4248-e6e3-4bfa-8220-88c923e32339,Audio-Codec
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,d0476060-27f7-4bc4-a725-a3f9b7751f8c,Signalverstärker
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,d1d0686b-aa9b-4a88-9beb-69e671200425,GNSS-Modul
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,9743f045-96e1-461a-827d-39610797259e,Microcontroller
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,0533ffef-9220-4a1a-8a7c-e38fbc1d9621,Power-Management-IC
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,448b5ce8-5c9e-44bd-9bf1-881cf1106674,Temperatursensor
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,bb445417-e652-4f84-814d-a0c00a295871,EMV-Filter
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,923a4fa5-73e5-4d73-b8e0-f3bf340dab06,PCB
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,576db96b-b4be-4efb-aaf7-67ead96dbce3,Steckverbinder
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,64ffbead-90ce-4ff5-b763-a128b31d71bb,Kühlkörper
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,02f8b251-fe34-4c90-be0b-e47946e52db9,LED-Anzeige
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,3d589ec9-bdc2-4564-9d2e-d740ae2aef4e,Schutzgehäuse
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,8db22290-70c1-4250-89cc-1f0f0ec9b126,Flexkabel
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,aa85f3eb-86f4-44b8-8b95-56146541e286,Antennenverstärker
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,a544162a-aa84-4a0b-b684-d6312ada0a44,HF-Schalter
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,598e0663-257c-44ee-9d0d-5f1114e1bd3d,Signalwandler
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,b6cc7720-069e-4113-b8bb-45bc4935058b,Relais
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,bb3f80dd-0a1d-4caf-b887-312562dda23d,Schraubverbindungen
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,db000d68-53a0-46d6-aeac-221a0969bf64,Montagehalterung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,0337163b-a17d-4532-a1da-65d9fee60fde,Isolationsmaterial
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,b97162c8-85fe-4fbc-8d6a-850cf188504e,Diagnoseanschluss
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,0a763303-8582-4961-ade8-f0438254a407,Software-Komponenten: Pairing-Algorithmus
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,975ec4fd-c4f5-4d48-a7bd-b0952349ddf1,Verbindungsmanagement
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,7126c189-00cd-4577-be24-36fbb8c4ac38,Protokollstack
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,85105a47-f6d0-432c-829b-01e964d0b1a3,Bluetooth-Treiber
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,32490f18-d2bb-4871-a993-644229f105c4,WLAN-Treiber
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,fbd0f667-4a70-41b0-bb51-44f68c47be4e,USB-Treiber
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,f463a95a-4f4a-443c-8ec9-62ea93a2c71d,Audio-Streaming-Software
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,ad6de7d8-69ce-4a43-b45c-c28e93c8a833,App-Schnittstellen-API
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,80c964db-7731-4fde-ba18-d5ced9c75600,Authentifizierungsmodul
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,6e46196f-426d-44a7-bfef-1d46e5bd2a1e,Fehlerprotokollierung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,c6abe56a-f496-4ab4-9364-a1b344bf1938,Diagnosesoftware
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,f7257366-539b-4be2-8f26-067fff4ec317,Update-Manager
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,66f290b6-05ea-45fb-998d-547fbd951405,Datensynchronisation
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,cfc0b0f9-3784-457a-b5f4-410ea4721ccc,Cloud-Integration
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,de6c2858-6924-42d1-9607-cf334e28da35,Kompatibilitätsprüfung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,14ba650a-a6b7-4f85-9dd2-1e47521a564a,Geräteerkennung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,18431177-5c19-489d-9aa2-ffaeb6e0ca6e,Rechteverwaltung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,e073a333-f02b-4c8f-a43d-c9c23a56f67a,Datenschutzmodul
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,762ec07c-5c1f-45a7-989c-3c9fb31b9581,Sprachsteuerung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,4c75c17f-9bcb-4360-ba66-1ab758a9f916,Gestensteuerung
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,5d9483ce-2a05-4e85-bc5f-620cacf859a4,UI-Framework
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,b9d74c00-536f-4dc8-a53a-df31d00f307b,OTA-Update-Handler
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,3046a85a-cab9-40a3-af4a-a768381247fb,Netzwerkprotokoll
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,e92d96c0-ae06-4418-9dd3-250b7fab941d,Fehlerbehebungstool
Infotainmentsystem,Kommunikationssystem,SmartphoneIntegrationssystem,4a5e3f6a-4d91-4b59-b3ba-6a7399e55322,Debugging-Tool
