Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,0122bc84-1504-4a79-b132-d67f41d7f2d2,Spiegelmotor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,e3440f27-7780-41b7-aa21-c683d539e3d4,Spiegelheizung
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,a96a47aa-5437-4e9f-8db6-70b1db258597,Spiegelglas
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,94296417-e24f-473e-98d1-0f2b3e96c59f,Spiegelrahmen
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,af2b2098-1e14-44fa-9d2f-703f97a12999,Spiegelgehäuse
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,1416b758-8176-44a4-855f-be570231a1ef,Spiegelverstellmechanismus
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,e56b935e-2761-44df-99c9-f9e69abc7a5f,Spiegelbeleuchtung
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,7cce1d1c-155f-4ea2-86ae-087fbc91cecf,Spiegelkamera
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,89d64f8e-c10a-4f67-af0b-f7448612a82d,Spiegelpositionssensor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,e70d6fc6-ad9c-4a1e-916b-c646eca00250,Spiegelsteuergerät
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,252cda29-69b3-42b0-8390-75e8a9ba91a9,Spiegelkabelbaum
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,26a38865-056e-4b0d-aab2-233404d082cc,Spiegelmontageplatte
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,13e030c4-8c31-427f-88ab-30e974804147,Spiegelklappmechanismus
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,9655beec-c585-437c-b473-bf826aedaf66,Spiegelabdeckung
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,6c4e6349-8bc4-4f27-8285-83a1b537991b,Spiegelblinker
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,16757ac2-9a8f-4961-844e-4d957cb618ad,Spiegelreinigungssystem
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,adb02988-917e-4e03-8a73-c01a7dd8844f,Spiegelvibrationsdämpfer
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,50fbe2c5-0787-4a95-8b51-efdc0bbba9a1,Spiegelbefestigungsschrauben
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,6a20af1c-b0d8-468c-bbe0-68666bceac0a,Spiegelisolierung
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,ade0da4f-0322-4635-817d-be09b35d9d99,Spiegelstromversorgungseinheit
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,020883d0-a08a-47c8-a936-db0e88f1fa42,Spiegeltemperatursensor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,45a1c073-e2a7-4256-bbb8-c219bab8bb69,Spiegelbewegungssensor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,9c955f8e-744b-4f96-9405-ae064ccdb91d,Spiegelneigungssensor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,8d0d0e01-9412-4022-af09-659b70440bb2,Spiegelrotationssensor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,12e550ba-b78c-43aa-b1ca-9b5b1d34bf58,Spiegelspiegelungsmodul
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,96f89eea-634e-4f6d-b034-bc39ff2b84bb,Spiegellichtsensor
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,6ba5ab6c-af79-4c9c-98d8-b97ffdcc993c,Spiegelantennenmodul
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,85ccb4b6-ba61-4024-9485-f40d4c0dec5e,Spiegelsteuerungstasten
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,bf3c21d5-9338-4e68-aa0f-264d99ba657f,Spiegelverbindungsstecker
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,b5fab5c1-2708-41d1-a682-92698ce65876,Spiegeldiagnoseanschluss
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,10323685-2680-4380-96dc-312bb0bbb5f1,Spiegelsteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,6126c3b0-163b-405c-bc0a-e9963aee9cec,Spiegelpositionskalibrierungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,0d7ee6cb-b1cd-4c7f-83ca-b5fa87d6ab96,Spiegelbewegungssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,7ba89214-5cc4-4236-9470-35a8313cb48a,Spiegelheizungssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,77788755-9e8a-424d-ac46-2a57f4bef0fb,Spiegelklappsteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,95823cfb-b3e8-42a4-85e1-50827a2653ef,Spiegelbeleuchtungssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,c8aa3c39-b738-4fdc-8576-f5fa798f0a98,Spiegelkamerasoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,c2b217fc-ba3b-4783-a678-5054823420ba,Spiegelblinkersteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,767a220c-cd6b-4099-9c8f-d8fbe55e1a96,Spiegelreinigungssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,24bdbb2d-df14-4a4b-a2bb-84a2154389b6,Spiegelvibrationsdämpfungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,7c76ffd2-9f1c-473f-822a-3c0b11f2b444,Spiegeldiagnosesoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,03b0b082-f5d5-4172-bd02-58bc95479982,Spiegelkommunikationssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,a3affa71-b701-47c2-ac29-d3229ae2ee45,Spiegelrotationssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,6d2dfabe-55cf-4d09-af5f-7853abbaf1f2,Spiegelneigungssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,c095506f-b092-42e9-ad9b-771072da90bf,Spiegelbewegungserkennungsoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,1e6791ef-891b-46fa-a068-af2685b74f6b,Spiegellichtsensorsoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,ea58420b-d6e6-4fd8-859f-e02ea880273a,Spiegelantennensoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,37c8484f-1088-43d6-b101-964911301213,Spiegelstromversorgungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,7194c94b-09e2-4296-bd00-e5969ea7a7a2,Spiegelisolierungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,b600e997-f67e-433e-9e7a-0008225879f4,Spiegelmontagesoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,c8019890-f64e-479c-b9aa-492728952faf,Spiegelverbindungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,bcfa5449-7cd1-43e1-948e-8094818c6099,Spiegelsteuerungsschnittstellensoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,68d2f42b-3b37-4727-ba3e-dba9ebbca135,Spiegelspiegelungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,6f15ecc7-1728-4e92-abc8-a85b61bc04a1,Spiegeltemperatursensorsoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,23d1f249-1fd8-49de-a234-bb9ac116c1da,Spiegelsteuerungskalibrierungssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,c2e966ea-697c-4b2d-9ffa-b4f1ce5ba565,Spiegelsteuerungskonfigurationssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,ce4cc6fa-c0a8-4e3f-825d-cc645140c642,Spiegelsteuerungssicherheitssoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,159429f8-ad3c-4894-91dd-606c61f07296,Spiegelsteuerungsupdate-Software
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,2d19d284-78a9-44c9-90c0-7b7dfc604989,Spiegelsteuerungsprotokollsoftware
Bodysystem,Karosseriesteuerungssystem,Spiegelsteuerungssystem,fd47976e-49f2-4734-aa84-77b90c787cb5,Spiegelsteuerungsdiagnosemodul
