Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,d7fe9e96-8d5c-444c-8c01-dd0e35715963,Mikrofon
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,7b3d632f-29f7-468c-85a5-70bec9e401f9,Sprachprozessor
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,6677f428-370f-410b-a826-82240f032aab,Audioverstärker
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,c3610085-7475-48d8-ae05-b3d3e3dbe02c,Geräuschunterdrückungsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,14545109-f4a4-4d86-bc5c-f1e2eea407df,Signalwandler
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,3ecaebe3-812c-4cab-ba3c-81aada0abe95,Sprachsensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,8147899c-a520-499f-a556-c196f9e86a54,Akustikisolierung
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,216880a2-f22d-4437-9d69-77cf1b544aef,Sprachsteuerungstasten
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,f47ed106-dd24-47ac-bdd3-e3450207777a,LED-Statusanzeige
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,c22382a4-df17-4397-aef7-0901f67510dd,Audioeingangsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,3f076cb2-b4b6-4913-8ca4-51e700514cb9,Audioausgangsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,d5c39b50-2b35-461a-a250-eeee0ee12587,Sprachaktivierungssensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,b5c40880-c9f6-48f6-90cc-ed5ee459427e,Sprachmodulationschip
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,e718f83d-1a80-4518-a0a7-384875fa5c57,Sprachfiltermodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,0c1c141b-5cd1-49e5-866c-c28540517b1b,Sprachspeicherchip
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,abc0b2f0-9f5b-43c3-b263-af9b9a14754a,Sprachsignalverstärker
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,b31afdec-f03a-47c6-bfdd-02d9213b1d32,Sprachsignaldecoder
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,403ffc47-b3d8-4b1b-83d3-1175dfc334de,Sprachsignalencoder
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,da28b4f2-49a7-4f17-a37b-da7efe7ed1b7,Sprachsignalprozessor
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,8dd12710-20a3-41bd-8222-b4e33189b120,Sprachsignaltransmitter
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,4b86c5a2-e17a-467b-9940-bf79d3bc3005,Sprachsignalreceiver
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,86d9ed56-d0b9-4234-ad8b-65bf2af9680e,Sprachsignalmodulator
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,562a37f8-d13c-4e42-ae29-b47e8daf67f6,Sprachsignalregler
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,b4d386e8-1107-49f7-abbb-0434157ef9dc,Sprachsignaladapter
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,272527f9-ceb3-4680-a9d6-8b9b5cbab8e6,Sprachsignalcontroller
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,3b806c7f-3d7e-4758-8bcb-440f0376ecbd,Sprachsignalinterface
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,b43e6f00-6fc2-4755-9e8d-6bb70db431b5,Sprachsignaltransducer
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,838cf662-8045-4740-bdbb-d1bd385b8162,Sprachsignaltransmittermodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,9de19044-c9cb-46cd-993c-bd3f5dc3c79e,Sprachsignalempfänger
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,1b9ce36f-45c1-4734-b4b2-3ecd3fc82505,Sprachsignalverarbeitungsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,56d90527-cbf7-45b9-add2-77befc4b2d7a,Spracherkennungssoftware
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,ba0fb789-877f-4b70-ac1e-9ff8382c91ba,Sprachsteuerungsalgorithmus
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,a1d96e91-bb81-4eb0-ad26-b68d4329beec,Sprachaktivierungssoftware
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,d59c4f38-9926-4bfe-8f23-0db8174f709c,Sprachmodulationssoftware
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,03035863-cd84-4fed-b5f5-8b46455de85d,Sprachfiltersoftware
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,d35f8996-bae1-4eb6-8974-bdd740b20e32,Sprachspeicherverwaltung
Infotainmentsystem,Anzeige- und Bedienungssystem,Sprachinteraktionssystem,a336cd59-cc2e-4cdc-a3ef-5f6d2cfe635a,Sprachsignalverarbeitung
