Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Lenkungssystem,Spurhaltesystem,47e062c9-5b1b-423f-8237-fc1ad38c69fd,Sensor für Lenkwinkel
Fahrsystem,Lenkungssystem,Spurhaltesystem,fb4b96de-0b61-49eb-9d3b-77b5f2799edb,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Lenkungssystem,Spurhaltesystem,34e0b9d6-e624-4b76-8e00-7dadfb7bf884,Sensor für Querbeschleunigung
Fahrsystem,Lenkungssystem,Spurhaltesystem,44039e9c-b1c0-443c-b2bc-4a3c238a695a,Sensor für Längsbeschleunigung
Fahrsystem,Lenkungssystem,Spurhaltesystem,210cc86f-40a2-495a-93aa-5cf82fc6bf6a,Sensor für Gierrate
Fahrsystem,Lenkungssystem,Spurhaltesystem,f1293bea-ad45-4c0c-bec9-732b1f3b253e,Sensor für Radgeschwindigkeit
Fahrsystem,Lenkungssystem,Spurhaltesystem,5f6bddeb-e8a3-4038-8e60-c894029f2ec5,Steuergerät für Spurhaltesystem
Fahrsystem,Lenkungssystem,Spurhaltesystem,127d4fc6-1b29-4aa6-bd7f-4322240cb736,Servomotor für Lenkung
Fahrsystem,Lenkungssystem,Spurhaltesystem,ee5b034f-2953-4366-8aae-0c3da9f05cca,Lenkwinkelsensor
Fahrsystem,Lenkungssystem,Spurhaltesystem,3db50aee-4edd-41af-826b-a5915bcc1891,Lenkungsaktuator
Fahrsystem,Lenkungssystem,Spurhaltesystem,cebafe14-626a-4401-9a75-c968cc8160f9,Spannungsversorgungseinheit
Fahrsystem,Lenkungssystem,Spurhaltesystem,820d7e36-128a-4423-8811-e499ac24816b,Kommunikationsmodul
Fahrsystem,Lenkungssystem,Spurhaltesystem,2d8e1aa0-2e92-4585-bcc8-a21655aa005a,Diagnoseanschluss
Fahrsystem,Lenkungssystem,Spurhaltesystem,3423d3cc-88b4-4377-929f-41fc9e615004,Temperatursensor
Fahrsystem,Lenkungssystem,Spurhaltesystem,deef076b-c604-45b3-86d7-ac1546bbb3a0,Positionssensor
Fahrsystem,Lenkungssystem,Spurhaltesystem,93ceb841-d4ae-4713-9b16-073174d8e9a2,Inertialsensor
