Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,2d95e686-8a44-48ae-99b6-2eb4bd6ec7f1,Sensor für Bremsdruck
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,5ed19a9e-2e94-45e0-b345-25b9cd0327aa,Bremsdruckmodulator
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,677d3f1e-3238-46e0-9c2a-c5be06221861,Bremskraftverstärker
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,ea820145-9323-401c-925e-4ce98b6a9142,Hydraulikpumpe
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,f35c98a8-10c2-4b20-8188-6f68f871a656,Bremsflüssigkeitsbehälter
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,cd5616aa-adf8-4e99-9e81-9f7e4e4d32f8,ABS-Sensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,29ad9ae7-a433-4a83-a9ea-3bd23c3e8f87,ESP-Sensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,32ba9c7d-f360-4bfd-9b9d-746b2b3299cd,Radgeschwindigkeitssensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,a3dcf9fd-68b5-46ab-b5df-03a185dc047c,Lenkwinkelsensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,b0db59e6-e1b9-4edc-947f-f7c51c8ebde4,Drehmomentsensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,f876dffe-de4c-42ec-9424-e30aef6c59b5,Hydraulikventil
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,29ec73e8-b4a8-4372-affe-e1e8032ae79c,Steuergerät für Bremsdruck
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,08e90073-e231-4d34-8bfb-4fb9c0fe60f9,Hydraulikleitungen
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,0070bfc5-5329-41a7-81bf-84def33e4857,Bremslichtschalter
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,2b397bfa-e91e-47ff-812b-07f57928947e,Stromversorgungseinheit
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,637707ee-e6fa-42a9-96de-139ea8266082,Diagnosestecker
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,6c79e140-ad83-46da-a750-467ee3b2207f,Temperatursensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,33443cb2-c548-4f10-8650-9d13daa29f06,Bremsbelagverschleißsensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,4bfa1b4e-37a7-450c-9c98-5e368d7bc091,Hydraulikfilter
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,184d638a-81c3-48c6-abce-fd80c6586072,Bremskraftverteiler
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,a52e5967-37f2-4797-aa3e-38e99728b2ae,Stabilitätskontrollsensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,14e8ebc8-db5f-4abb-ba07-5256e8990992,Hydraulikblock
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,c962e26c-6b00-484d-995f-65ce750989b3,Magnetventil
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,b51ddef6-2cd5-4df7-9f51-1fccd783a1f5,Elektronisches Steuergerät
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,8ac45a32-9e35-46e2-81f3-2444b8fb30cf,Kommunikationsschnittstelle
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,02724c95-b687-43c1-b0b9-f411bd53b4a4,Notbremsassistent-Sensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,38a9a57f-841d-4087-bdb3-0e11030dc04f,Stromverteiler
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,2750b7cb-147e-4646-983b-a9aaf1b52aaa,Relaismodul
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,419a3405-afc6-4fba-af00-4e9271ee450d,Diagnosemodul
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,713864df-7151-4019-8a7b-eaff5b7f8c3b,Feuchtigkeitssensor
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,ffbefb2a-6b1c-44d3-ad61-d81387602f3f,Bremsdruckregelungssoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,16acb72a-890c-4237-9809-2206bc65f3df,ABS-Algorithmus
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,1c6882d2-27a3-4f38-ae7c-54616f49c4ba,ESP-Algorithmus
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,ef0b9dbe-32db-4a0b-98e9-f3b4437f5883,Radgeschwindigkeitsauswertungssoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,6426b769-283a-43fd-91cf-ed739cd93e7f,Lenkwinkelregelungssoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,68a6919d-049e-4111-bc66-17b8c9351d48,Drehmomentverteilungssoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,e882b2af-de28-414f-8eb6-22630e76c368,Hydrauliksteuerungssoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,09364011-21c9-456e-aa19-715172c93f8e,Fehlerdiagnosesoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,2e90a56d-58dd-4f2f-92c4-41c5f72830d6,Kommunikationsprotokollsoftware
Fahrsystem,Bremssystem,Stabilitätsbremsassistenzsystem,4e91a62f-4540-4139-830d-bf38716fc461,Stabilitätskontrollsoftware
