Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,0a7a9b3d-af46-4d77-8d85-fde105a178a2,Temperatursensor
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,5344794e-3d50-4c8d-83b3-c00df6876bcb,Kühlmittelpumpe
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,cbd544c5-b1f2-4b72-bed0-2d311b60c8d9,Kühlmittelventil
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,3269b6f0-8b64-4a90-ab81-5a6fb5d0b4a1,Wärmetauscher
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,0ea68f63-815f-4612-94a5-ed032d8e6ffe,Lüftermotor
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,d1bdf8d4-5975-4364-af29-a85495552c05,Lüftersteuergerät
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,ab4c4abd-01f9-479d-970c-c04e946c4da5,Kühlmittelschlauch
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,d6a760d6-bb13-407e-802f-a7fb80234cbb,Kühlmittelreservoir
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,6a2f3501-584a-4e41-9882-aa35fc4d0191,Kühlmittelstandsensor
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,94597df1-d89c-41d5-96d4-5052dc5134c9,Kühlmitteltemperaturfühler
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,0da1640e-92d0-4120-ae50-864180a50da7,Kühlmittelheizmodul
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,a5b195ac-949f-4ba6-9e59-1ead21d05af6,Kühlmittelkühler
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,2bda1f5f-6896-4b73-8b55-cbcd330fbbc0,Kühlmittelkreislaufventil
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,e73ef13e-dcaf-4549-838b-ecf142adf037,Kühlmittelkreislaufrohr
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,01f53715-f877-4cce-88df-e26cb9d3dd24,Kühlmittelkreislaufdichtung
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,c7820b48-e28e-4c59-b4a5-3ac4fea0c538,Kühlmittelkreislaufanschluss
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,14be82fe-8320-45e7-88ce-aa41cdf731d1,Kühlmittelkreislaufadapter
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,ee4af9dd-4e56-45a0-989d-a60282158606,Kühlmittelkreislauffilter
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,c918b523-f870-4bfa-a0ff-c96c4532180e,Kühlmittelkreislaufisolierung
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,303d343a-2dc9-4b69-a750-00bd673b4eec,Kühlmittelkreislaufüberwachungseinheit
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,f9b19fa3-8384-4b99-bf18-62ac5675e8a1,Kühlmittelkreislaufdrucksensor
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,bc2a6cd5-4f35-424f-bbe9-b84cd69cbdc5,Kühlmittelkreislaufdruckventil
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,5cc56209-25d4-4cd0-86e6-d0640de32543,Kühlmittelkreislaufdruckregler
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,341bdfd4-3268-4271-af62-5679445436fc,Kühlmittelkreislaufdruckanzeige
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,c9ca8386-f4c0-458a-a387-4e59d0bd71cc,Kühlmittelkreislaufdruckmodul
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,492f8845-5d2a-4ad0-ada5-307aa12d85c5,Kühlmittelkreislaufdrucksteuerung
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,5e414c4c-07aa-41aa-9ced-c0eb1f5d5bf0,Kühlmittelkreislaufdrucküberwachung
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,11cc7454-451b-47b0-b0d6-903b6bf7f19e,Kühlmittelkreislaufdruckausgleich
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,bf605973-2f9d-49c8-878b-b2298b9d9b92,Kühlmittelkreislaufdruckventilsteuerung
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,e1eede42-dbae-434d-ab44-3af8898b4802,Temperaturregelungsalgorithmus
Energiesystem,Batteriethermomanagementsystem,ThermischeLeistungsregelungssystem,11d0d896-d99a-4dc3-9f15-e806d681b877,Kühlmittelkreislaufsteuerungssoftware
