Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,7df589c5-6657-4357-ad5b-b8cf2772f8b0,Sensoren für Radgeschwindigkeit
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,12407919-c3c0-417d-a9f8-df34f0f76a08,Drehmomentsensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,52b962ae-9c0a-4808-969a-6cb22e564c60,Lenkwinkelsensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,1b2c0e04-4fb1-4294-8843-f32347e22b46,Giergeschwindigkeitssensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,8c59a308-85a8-4ca7-bc6a-c3041af58ec4,Beschleunigungssensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,7b745e2a-c564-4b89-8461-cec835840987,Steuergerät für Drehmomentverteilung
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,cf55298b-935f-434e-b3d7-cddf5a1ba6ca,Hydraulikventile
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,f1db3e3d-ece5-4cb2-9d22-788f2542cd26,Elektromotoren für Drehmomentsteuerung
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,2fc968bf-61ed-448d-a907-fd98c0025f96,Getriebeaktuatoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,27385b7a-f195-48ca-a81a-ec69f512efda,Kommunikationsmodule
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,874e18c6-51a6-4c66-aef7-4684a6c6b553,Temperatursensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,c5e2a80c-7429-4a29-80bf-49370ad947f9,Spannungswandler
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,45db4219-a2f7-4164-9f18-de7ef6e5f790,Stromsensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,f05b0ecf-a85b-4042-8e15-7869b1bec7be,Diagnoseanschluss
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,dcd5a560-7e7b-4cd7-b443-062c59e35a0e,Leistungselektronikmodule
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,35f74d3d-bcf6-4033-a535-3caac3518f87,Relaismodule
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,a2af053d-ef0e-4f09-8c43-3cace3ed7b96,Steckverbinder
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,2a2c1489-ef33-4d69-97ba-e78f1d24ef05,Kabelbäume
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,5a141e2f-a405-4db0-a32c-486698f7a264,Schutzgehäuse
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,6b58bcf8-af2a-4072-8221-4d96f818db85,Montagehalterungen
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,02e47b6f-d089-4569-9876-d1a10a474c93,Schrauben und Bolzen
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,bcc79f24-2698-40b4-a0c3-8b98c083a047,Kühlkörper
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,ec133b1c-c7b4-40b8-b1e8-430d9e8afa69,Magnetventile
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,dbab1427-015c-4f7d-a984-1a459e83a808,Positionssensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,53a90ef0-12e5-4951-870d-bda4feb95634,Lastsensoren
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,da77091d-7d04-4f51-9076-81510a90d5cf,Signalverstärker
Fahrsystem,Drehmomentverteilungssystem,Torque-Vectoring-System,eacba169-b848-4b6d-8c60-e60c06deeb49,Schwingungsdämpfer
