Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,46c51393-0434-4a59-9721-2505c320883d,Türgriffsensor
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,c44dddbf-216b-4938-93df-5185a6d38879,Türverriegelungsmechanismus
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,5cd73ae5-fb1f-4caa-bb02-2385e7c65ffe,Türsteuergerät
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,b57f27eb-2c21-487b-bfef-ace295203527,Türschlossmotor
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,7f0cdf59-84f6-4aa5-893c-20f50695a872,Türöffnungssensor
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,e8830a3c-8647-49f4-a2c0-975a1410de32,Türpositionssensor
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,7f71b170-0004-42f6-97a4-42181b17db35,Türverkleidung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,7afaafc2-51c8-40e1-ae4b-0255ad68739e,Türscharnier
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,f14766c9-4e10-4ad0-a207-f50b17297f3f,Türdichtung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,de3a3f79-5f56-43fd-9fb1-aa2997d909ab,Türlautsprecher
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,67c93496-2b47-4c94-9407-cfe1cc848fa3,Türbeleuchtung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,d2a3d718-c615-4fbb-a545-c22386e7f90b,Türgriffmechanik
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,bd6a56d1-1ed2-4c77-818d-b111f73e8850,Türschlossmechanik
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,c0e8c73b-1213-421d-87ce-e079707789fe,Türverriegelungsaktuator
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,1490d0b0-0703-4355-afb0-574b368a0498,Türöffnungsmotor
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,7b4c95ae-44b5-4ddb-a718-7b462e252367,Türschließsensor
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,5386df86-dbeb-4016-b0a1-2f7d14b0d6a9,Türsteuerleitung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,4613eb29-9b09-4942-9d93-7e68cb5e5fce,Türverriegelungsschalter
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,e349cb51-5eb8-429b-8f1b-983ee01ed2a8,Türöffnungsschalter
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,adc52899-0f9d-405e-b370-7796e3865a37,Türschließmechanismus
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,21c8c9b2-a03e-4943-b259-f247c0a40df3,Türverriegelungsmodul
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,769bda7f-f509-406d-9f5f-e9c27ae972a3,Türöffnungsmodule
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,84086e30-8da5-45d1-a353-a503bef8e210,Türschließmodul
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,5e7cc827-a45c-4099-b547-f7aa8560f124,Türverriegelungsaktuatorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,70a2c8aa-2bda-460b-892f-7e12c7383da4,Türöffnungssensorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,5f7fe1f3-bdb6-440b-bd14-dbc5c66a5774,Türschließsensorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,398ab12b-bb47-4b57-92ab-c0fab7892acf,Türverriegelungssteuerleitung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,6b9c8adf-348e-4c1f-882c-e3d63fa64c28,Türöffnungsteuerleitung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,a71effca-b49f-4842-bb47-0ac42e8dc56f,Türschließsteuerleitung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,903bd008-a0fa-4d68-aa4b-c2e332e3ef10,Türverriegelungsaktuatorleitung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,e686bffc-d94a-4bf1-91ab-163087dbdf49,Türsteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,53c1075b-bca8-482f-b04a-068a3c600d48,Türverriegelungssoftware
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,7ff1607a-563d-4626-924b-04bfd1fc29e6,Türöffnungserkennung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,102449c4-c14b-48e9-9cbc-43fdf166caa5,Türpositionsüberwachung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,bbe7aaea-cd1d-41cb-81f3-a3badc10083f,Türschließlogik
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,61d6d0bf-8a29-45cb-bd21-b1a7edcba206,Türverriegelungslogik
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,55c3c81c-0141-457a-a887-69ddc2876995,Türöffnungssensorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,87d82644-76d9-43e3-be2e-25d8caed7741,Türschließsensorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,b1ae7f9e-59f0-4fc4-aec2-53ca427398a6,Türverriegelungsaktuatorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,37e8030b-485d-45ea-8bc4-6058837bf44a,Türöffnungsmotorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,dbf5143e-82ac-4ae1-a3b0-835fa8a64e8a,Türschließmotorsteuerung
Bodysystem,Karosseriesteuerungssystem,Türsteuerungssystem,6aaa8153-b77c-4551-bd0a-1806db77d598,Türverriegelungsmodulsoftware
