Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,0043ad5c-2bca-4f70-b7a4-2290ab836985,ECU
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,2b9940d7-c5a2-4bde-8196-1c93ed3f9cb0,Flash-Speicher
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,830c0c49-0000-4a6f-bbc6-741ffeabb53e,Microcontroller
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,4ba371df-fe95-4e30-96f5-c14900e6ccd2,Kommunikationsmodul
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,d8a336fa-692a-48e6-ae6c-fa5947559f75,Diagnoseanschluss
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,07436fe2-ea75-4095-8c24-514d3e8551ca,Spannungsregler
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,8cc8da61-6580-46c7-85d2-05236ccaf30c,Relais
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,36c01913-628c-4ae3-b127-1fb07d04a7aa,Temperatursensor
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,53b65d91-1d8d-4fb5-a85c-0c19074b1c10,Spannungssensor
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,52505776-ca97-4d84-9886-9958f644029a,Stromsensor
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,04c11997-451e-4ec1-a242-c5464268f188,Netzwerk-Switch
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,73fa3f11-6188-4120-8e8a-63c8159b107e,Bus-Transceiver
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,518ca9df-5078-41de-8516-c4d5c0babaa9,LED-Anzeige
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,294da459-119c-4361-a08c-8010d05e4667,Knopfzellenbatterie
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,eb11a462-b9f6-4522-b48b-3d06d4f5bcd5,SD-Kartenleser
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,c1341e11-1eb3-43c2-8799-0a6f920ae866,USB-Anschluss
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,a0ef7c49-9b7a-451b-8b89-cad063d82c3a,Antennensystem
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,7aed85f1-4705-4e67-8685-aae46d97dd67,Wi-Fi-Modul
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,d9678c18-87f6-4556-8d43-a0ff327388c9,Bluetooth-Modul
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,6887b310-f68f-4e1b-ba82-eb849ab0bbfe,GPS-Modul
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,058f0990-a3ef-4d1a-b9aa-fcdfb93fb08f,Display-Treiber
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,469b747a-588c-4bbf-958a-4dbf167953d1,Touchscreen-Sensor
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,051785c3-91f7-4f15-90c6-03a51a582261,Steckverbinder
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,129fa17e-00d7-4a38-9641-b9efa4f47b6b,Kühlkörper
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,b95c8467-11e3-43da-bc5c-09e6bca06ca0,Schutzgehäuse
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,02f5b15f-9639-4478-9d77-83340c9e0b78,Schraubverbindungen
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,04f07087-0863-4b10-8fd1-db1d0347f932,Montageplatte
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,3e5fce83-5840-435e-bf9f-5dc48d79babc,Schwingungsdämpfer
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,b1868e58-a2fa-4a8f-be0d-17370d59533f,EMV-Filter
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,bd6aadaf-e6dd-4f05-b474-353f91956e66,Schutzschaltung
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,afaa6fc3-96a3-4e16-b863-445bff15d0b1,Update-Manager
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,9e2bd85f-f3d4-44eb-9f06-82314100f746,Installations-Algorithmus
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,9b573897-fd46-4ae5-a9b5-45258ba6bc5c,Rollback-Mechanismus
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,144684f9-6b80-46a2-a43d-92a3d8eb67af,Authentifizierungsmodul
Infotainmentsystem,OTA-Update-System,Updateinstallationssystem,e48e3be3-30df-4898-b827-561216cfcdf5,Fehlerprotokollierungssystem
