Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,3c684281-5cf1-4c5c-9122-aaed49e7f8d3,Steuergerät
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,c60326de-2b13-43b1-9531-df7be04e1748,Kommunikationsmodul
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,0d821688-af85-4a95-8a85-fe5851c1f5f0,Speicherchip
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,e0d81ed9-c24d-41b4-a729-e087ff252e41,Prozessor
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,333e0689-6018-48d0-a399-89426d029d0d,Netzwerkinterface
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,4c88a347-8178-49cb-a28e-3e5a55b4f8c8,Spannungswandler
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,6983392f-4e7d-488c-a902-f9640a77d963,Antennensystem
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,ac9b709c-34c3-4290-a885-fea2352698ff,Diagnosestecker
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,0956216b-448c-4449-986c-b50068e6d062,Relaismodul
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,2bc17391-6bdf-498b-8b42-91d348194b2e,Stromversorgungseinheit
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,a4bd2640-8161-4631-a816-ede770e69f3b,Temperatursensor
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,bd492b57-1cc8-45fb-88fb-9c4f109fe3e1,Feuchtigkeitssensor
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,7c6cfaac-1ee7-4d07-a900-864ff63f6290,Schutzgehäuse
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,a358432f-c2db-4a18-8845-ed2a201264e5,Kühlkörper
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,73a9a19e-b337-404d-8314-ed61d27f2cfa,Verbindungskabel
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,316ea134-3980-4347-9b53-21e0e9a7f02c,Steckverbinder
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,09dc6e2f-c50d-4824-9639-486fd626e129,LED-Anzeige
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,301201eb-2acd-4dc5-92a0-0c650d40849e,Statusanzeige
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,6207f080-7456-494d-ab6c-449cc0581ff8,Schraubverbindungen
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,c10b01a3-9cbe-42d6-aace-c3d070372bee,Montagehalterung
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,bd53f0b3-55d1-4523-bba9-33b36c6a0e6b,Schwingungsdämpfer
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,3459083f-ae1c-41c5-94f5-0475faa4901e,EMV-Filter
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,bb4a3c33-e152-449f-a3cf-c0f898472917,Signalverstärker
Infotainmentsystem,OTA-Update-System,Updateverteilungssystem,2d38fdf7-0784-4c59-9020-995222278e66,Signalwandler
