Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,5789eebe-9b81-4665-9ac9-a9791cf1fb2b,GPS-Antenne
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,a403f36e-7d9e-473b-8aea-5c775724ff12,GPS-Empfänger
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,8cbb19ed-8b92-447d-9a4b-02c81b3b51ee,GNSS-Modul
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,04c24a78-bfba-4256-8e57-f9efeb32912f,IMU-Sensor
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,d42ac463-e232-45a5-974a-a8bbfb9fcb3c,Barometer
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,9e641370-ca9f-4b3c-87b1-700bd3851ee8,Temperatursensor
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,1bdc64c1-0451-480d-be58-5fb0ed75efe9,Magnetometer
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,6c905324-fb5a-4107-a5f9-9cdc558ddc25,Beschleunigungssensor
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,852a6bf2-7168-4715-9688-9ecfbfc2b284,Gyroskop
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,c36fdd7f-a67a-4b71-b0ea-5ee7df2b71e4,Telematik-Steuergerät
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,31b91a25-3960-4bf7-b715-248676af0688,Kommunikationsmodul
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,7ec0e9c3-94d5-493d-ae3a-f44d9d34b613,RFID-Modul
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,f0238f8e-c615-41a1-8ed4-c64d11280508,Wi-Fi-Modul
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,4d0e1d9b-a4fa-4485-b029-fc2b25f8ab42,Bluetooth-Modul
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,2453b632-637b-4be8-9957-0e8d759fd02f,4G-Modem
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,c0275ae6-aa3f-4d33-89df-520e9ba6d29b,5G-Modem
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,91580f76-12aa-4535-978c-9730e8a4bb25,SD-Kartenleser
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,00b61bf6-4234-43b8-a71a-b79bdab4c9d1,Flash-Speicher
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,3631cf8a-056b-4f0d-a388-876bf1a711c1,Microcontroller
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,73ba58ff-f6e3-4439-a91c-a25fbd027f39,Prozessor
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,6633b4c5-6511-449f-a30e-ea4e7c7e772b,Display-Treiber
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,bb42c328-8c26-4839-94e6-757b89ceed58,LED-Anzeige
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,f4eefa2e-3cea-4a65-9478-c8fcb8a54b04,Touchscreen
Infotainmentsystem,Navigationssystem,Verkehrsinformationssystem,c5e77e87-d7cd-492e-ab46-50b8499e9638,Signalverstärker
