Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,3e394ae7-574c-4412-a766-c8f93dbce85a,Sensor für vertikale Beschleunigung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,0d98e295-a68b-4e47-afc7-242d8a3bf055,Sensor für Radlast
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,359cb0d4-cfb3-4b1b-97ee-2c22a643cf74,Sensor für Fahrzeughöhe
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,4ae683b4-30c0-4c3c-8b0b-6bff69ec455d,Sensor für Federweg
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,56a79e16-3072-479a-85fb-879eb6372f1f,Sensor für Dämpferdruck
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,bc9a0b22-a2ae-4546-8db8-3b94456dc45b,Sensor für Achslastverteilung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,f988e715-8d45-49ba-b3a4-51bbfbeab5e4,Sensor für Neigungswinkel
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,07f01183-e1d3-4a99-be26-cb926ab6a85a,Sensor für Karosserieverformung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,71b90824-e798-422b-b3b2-7fadeb75e335,Sensor für Bodenhaftung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,2196cf90-05e3-4d3d-ad39-5a495f670d7f,Sensor für Schwingungsfrequenz
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,9bb86f58-338e-4eea-843a-413b66851a36,Sensor für Stoßdämpferposition
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,11b73489-7c05-47cd-9fe1-c94a11322b43,Sensor für Federsteifigkeit
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,060784db-998b-4521-8080-139f551be37a,Sensor für Radaufhängung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,db4ea4e8-c745-4667-9ad5-9dd27dc45a07,Sensor für Fahrbahnunebenheiten
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,6c554e3d-b5fd-4e85-818e-0ab8dbf0b20c,Sensor für Fahrzeuggewicht
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,cfd976db-ece7-4799-88bc-d0c3be0ccd55,Sensor für Schwerpunktlage
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,8f876c7a-e47f-4a63-98a5-9d1bb85b1139,Sensor für Achsgeometrie
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,617d4bc2-320f-43f4-8ae6-32337c86ef9f,Sensor für Radgeschwindigkeit
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,e4ec1757-5c7c-421f-a977-5289e712ff52,Sensor für Radschlupf
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,26f7b027-4107-4213-aa00-a540647f22d6,Sensor für Reifenprofil
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,551104bc-b42f-4ae4-b65c-aef1e818135e,Sensor für Reifenluftdruck
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,05857cac-6bb7-4114-9905-69ffca1a6649,Sensor für Temperatur der Dämpferflüssigkeit
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,35f42452-e918-499b-8960-6e2d7f04c3f9,Sensor für Dämpferkraft
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,3bc37ca7-39e8-4ff7-9c35-60118056496d,Sensor für Federkraft
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,f74bc14c-b50b-4245-afe8-2bbf9a2a57f0,Sensor für Karosseriestabilität
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,e22c1ba3-6c2d-4a16-9dde-9b2aa6e7e437,Sensor für Fahrzeugneigung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,40fb2516-b9b0-413c-aeb0-78350a6cfe32,Sensor für Fahrwerkssteifigkeit
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,7c99eaeb-0156-4835-b282-3b2c57cb4fc2,Sensor für Schwingungsdämpfung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,0dc3c0b9-45c7-4cba-8e3c-72818241b521,Sensor für Bodenwellen
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,5c9e69fb-3fa2-488a-9457-a0c239c45bcf,Sensor für Fahrbahnglätte
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,047de25c-eb27-41f0-a33b-e2005e7c0ecd,Vertikaldynamikregelungsalgorithmus
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,b50b84f0-c69e-4a35-b9d3-98b901e46096,Federungssteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,360aab8e-6f2b-4f63-93d6-d359b9dfad84,Dämpfungsregelungssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,735a0883-ba2a-4ed2-9736-d8a4b35a4190,Schwingungsanalysemodul
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,24c80686-afb5-4e38-afad-5b807f9dffc6,Karosseriestabilitätssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,b08e5101-ab84-44a0-967f-74492dfd6282,Fahrwerksoptimierungssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,ca7faa36-7c89-4400-ac5d-7aa6fc54f622,Neigungsregelungssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,af6e38cb-ab30-4bf3-9708-bf8ca91cda05,Radlastverteilungssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,69e341a8-e9de-4ef4-8346-c961ecc6e3e0,Fahrbahnunebenheitserkennung
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,4c2b76e7-5b86-43fa-bc7d-9deaa01649e5,Stoßdämpfersteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Vertikaldynamikregelsystem,5fb3c903-20d4-4e66-8826-df7001e41c8f,Federwegoptimierungssoftware
