Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,75cab469-3c1b-469e-b699-e6bf368dbacd,DSP-Chip
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,14c8521d-9352-4d6a-826a-a3ec29075890,Audio-Codec
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,31961486-0395-45e4-8f6b-6bdf8d099763,Verstärker
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,be926e29-1a49-4311-bf47-345927e29445,Digital-Analog-Wandler
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,22cb092c-a254-4ec6-8216-3adddc7a8359,Analog-Digital-Wandler
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,ed43b343-fd03-4070-83e2-c27b974f73f2,Lautsprecher
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,5a3329d5-a693-4711-b1b5-663bb72382ea,Subwoofer
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,cf6b35d0-b1fa-4d40-8d69-84f73f056b1f,Mikrofon
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,1d6ec5b7-b49c-497d-8ed0-25f0d4f2e9bf,Audio-Kabel
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,da46403d-2641-4755-a166-5efaf06a6349,Optische Kabel
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,8f4b7da5-ee1e-4ed5-9238-ff3b864d582c,Audio-Controller
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,b718e094-e39f-4f42-8fa6-2fdc5c550ad0,Signalprozessor
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,24fcca71-52f9-4a5b-af87-8fdb718bc9ee,EMV-Filter
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,d63711d3-fb5b-4781-8b68-3e46dbdbb75a,Stromversorgungseinheit
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,6e9e31fe-fd24-460f-97f8-b7b1d1ebd567,Temperatursensor
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,013c5bb1-79f8-462d-9c68-850570f6d0d1,Akustiksensor
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,7e76e6f6-ded0-48c2-bf3b-15ee9703e54f,Schwingungsdämpfer
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,b9988a30-7303-4328-afde-c683e8cfdb63,Audio-Isolator
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,b7ba2be9-d7a2-4cd3-8d1b-cbe483131e80,Audio-Filter
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,aebe1d86-e4d4-483c-b1ed-9c0a2765f94f,Audio-Multiplexer
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,6f3530a8-e2d2-4ebd-8dee-924161eec971,Audio-Splitter
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,c16a252a-e15d-4645-ae56-77788cc491b7,Audio-Equalizer
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,237dea75-1bca-405b-952d-f305f54d08bc,Audio-Matrix
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,b4ac8568-7825-4058-a4b5-b384796df8c5,Audio-Transceiver
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,04aed369-7b1f-4f50-996b-a39f4144e770,Audio-Interface
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,d45dc25e-cb9a-4cce-9e5e-3a8711332ce8,Audio-Adapter
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,37cbd34f-3b0b-4555-aa7c-b04a1d37527a,Audio-Bridge
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,29e36320-98fc-462f-9a7f-88808c95e60a,Audio-Preamp
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,8eaccea7-555e-4b1c-a96b-59e42543f71e,Audio-Postamp
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,4f8a1d21-eb9f-4924-935e-5d664d77d156,Audio-Buffer
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,23f4dd65-9f79-4fe5-bab4-c397c2a2557a,Signalverarbeitungsalgorithmus
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,4e5ee963-87d3-4562-b3c1-f191c8f5da28,Equalizer-Software
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,d8b5b000-3635-4049-bafe-5fa1bb764172,Audio-Mixing-Software
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,e725407e-9f8f-413f-84b5-fad75c148094,Audio-Filter-Software
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,cd9a5f6f-2656-4333-8965-658a7ad3c09c,Audio-Kompressionssoftware
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,4b6321ab-2582-4c80-a2c1-6ccf53d1c535,Audio-Dekodierungssoftware
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,8e0490ba-0ede-4752-9c72-cf920139844b,Audio-Encodierungssoftware
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,2479935e-f860-4270-9511-07ce7c347d29,Audio-Synchronisationssoftware
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,60cd0de1-ec0b-4eac-bf0a-fa11e30ea7c7,Audio-Streaming-Software
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,2ce04d4e-1c73-4d44-ad36-8c25b77f5d79,Audio-Management-Software
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,c449326a-7134-4a0e-8149-60802648a53e,Audio-Analysetool
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,ec5c11a2-bd8a-4ca2-8b28-097b5d6baa02,Audio-Diagnosetool
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,35eeda84-3796-4c12-80ec-63eee1d98a4e,Audio-Optimierungssoftware
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,0f3aeea4-683c-4480-b76a-f90df7fc8af6,Audio-Rendering-Software
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,4d82a702-d9ff-49c6-b334-d034b35e77f2,Audio-Simulationstool
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,74c612c4-354f-4ead-be01-6cda02de64a4,Audio-Emulationssoftware
Infotainmentsystem,Audiosystem,VirtuellerKlanggenerierungssystem,72c7877a-9b32-4379-929a-f8e883476d9c,Audio-Fehlerkorrektursoftware
