Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Zugangssystem,Wegfahrsperrensystem,c2e4c11c-91da-4c84-a112-eb867a29b9b4,Transponder
Bodysystem,Zugangssystem,Wegfahrsperrensystem,49ad07c7-1cbd-4041-b06c-9d3160ee75d8,Schlüsselchip
Bodysystem,Zugangssystem,Wegfahrsperrensystem,b64e4f95-b978-482a-8892-67927099feb6,RFID-Antenne
Bodysystem,Zugangssystem,Wegfahrsperrensystem,352c6dc0-b58c-472a-acde-e67137a969a7,Steuergerät
Bodysystem,Zugangssystem,Wegfahrsperrensystem,71b2cc72-3661-44b9-a7da-ff7bcdd1b1c2,Wegfahrsperrenmodul
Bodysystem,Zugangssystem,Wegfahrsperrensystem,573d4b1b-3aa2-4165-a397-c853cce4247c,Relais
Bodysystem,Zugangssystem,Wegfahrsperrensystem,acf99511-e0ca-44f4-9760-c136be672c17,Schlüsselleser
Bodysystem,Zugangssystem,Wegfahrsperrensystem,53180352-dcc7-4f5b-9c42-43858d35e972,Schlüsselbatterie
Bodysystem,Zugangssystem,Wegfahrsperrensystem,e2649df9-842f-4a84-817f-bca3e1aba5d4,Schlüsselsensor
Bodysystem,Zugangssystem,Wegfahrsperrensystem,0347187e-8c36-4b5f-973c-f649f5b49ff7,Schlüsselgehäuse
Bodysystem,Zugangssystem,Wegfahrsperrensystem,57b4cfc8-a330-4e4b-b720-3f83942af7e3,Schlüsselspule
Bodysystem,Zugangssystem,Wegfahrsperrensystem,71027ac8-8a09-4fd9-a823-e8f6f4b15617,Schlüsselkontakt
Bodysystem,Zugangssystem,Wegfahrsperrensystem,afb7982c-0b09-466b-a49b-3499ca848da8,Schlüsselmechanik
Bodysystem,Zugangssystem,Wegfahrsperrensystem,f283264c-90c7-40b3-bb3e-c01314def0d2,Schlüsseltransceiver
Bodysystem,Zugangssystem,Wegfahrsperrensystem,e3ede107-758d-4c09-af3e-269475535711,Schlüsseldecoder
Bodysystem,Zugangssystem,Wegfahrsperrensystem,8c63c3c6-0205-4a36-8004-a13443ac7839,Schlüsselencoder
Bodysystem,Zugangssystem,Wegfahrsperrensystem,d10a7454-5bce-4eb4-8285-16ddbdfd67f9,Schlüsselinterface
Bodysystem,Zugangssystem,Wegfahrsperrensystem,858ecf3e-e9a0-41db-9465-815a53b033a7,Schlüsselsteckplatz
Bodysystem,Zugangssystem,Wegfahrsperrensystem,9eb98b31-8d4b-4c4e-aae1-d388aa6c0ea3,Schlüsselhalterung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,83e3ce55-e05e-4e24-b476-def470d0d142,Schlüsselabdeckung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,277c9d61-63b9-4f9d-bd4c-e513c8ebd7c9,Schlüsselverriegelung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,9db9887f-58d6-4beb-b3a4-6c6990843dd3,Schlüsselentriegelung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,e1c54a9f-6334-459d-bedb-b3ed909f5e49,Schlüsselaktivierungsschalter
Bodysystem,Zugangssystem,Wegfahrsperrensystem,c2800a0d-83f4-470b-af28-e6c8142fe94c,Schlüsselstatusanzeige
Bodysystem,Zugangssystem,Wegfahrsperrensystem,fae31643-4cba-4e23-b657-dd61a9a9f82e,Schlüsselstromversorgung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,b8074ae9-3821-419f-8458-0fd010397ab2,Schlüsselkommunikationsmodul
Bodysystem,Zugangssystem,Wegfahrsperrensystem,bb8b4105-f916-4f89-affa-6326d84625a4,Schlüsselverbindungsmodul
Bodysystem,Zugangssystem,Wegfahrsperrensystem,5f7db831-f96b-434c-9cc6-1dde68804fea,Schlüsselidentifikationsmodul
Bodysystem,Zugangssystem,Wegfahrsperrensystem,920d72ba-ef12-41fc-a2ca-8d231456918a,Schlüsselprüfmodul
Bodysystem,Zugangssystem,Wegfahrsperrensystem,b150d28d-52b4-4aac-bfa7-574421ad231f,Schlüsselüberwachungssensor
Bodysystem,Zugangssystem,Wegfahrsperrensystem,fa0d91d3-c8f1-47a3-94dd-9f03df6de822,Authentifizierungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,814a99f2-fcca-4011-9484-9639bc21643b,Schlüsselverwaltungssystem
Bodysystem,Zugangssystem,Wegfahrsperrensystem,0570b5a6-cf3c-4b4e-915c-1df562bc2e47,Schlüsselidentifikationssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,1e47e522-0450-4871-a1de-ce0d978bdd84,Schlüsselprüfsoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,78c3ed1d-59f4-4927-afde-b4f6ea6931dc,Schlüsselkommunikationsprotokoll
Bodysystem,Zugangssystem,Wegfahrsperrensystem,6e5fd70d-e267-486a-bb60-504e590edac3,Schlüsselverschlüsselungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,5a0b8986-7ee9-4dae-b721-3edc2148f557,Schlüsselentschlüsselungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,d52b15f5-065c-4a7f-89b9-e066142c0f82,Schlüsselstatusüberwachung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,260df144-38f4-4585-b8a6-2fe550d6e9c2,Schlüsselaktivierungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,96909b4e-0f36-413e-9981-a68205dd11ec,Schlüsseldeaktivierungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,3f7f389f-8579-47ea-b0c6-a62ffd92d230,Schlüsselverriegelungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,43f0af8a-1208-4d38-aa32-210300b3b94b,Schlüsselentriegelungssoftware
Bodysystem,Zugangssystem,Wegfahrsperrensystem,a23dc5a3-4a51-412b-acd6-01accd013682,Schlüsselstromsteuerung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,623bd1de-d1fd-454b-a330-6fc6848cd71b,Schlüsselprotokollmanagement
Bodysystem,Zugangssystem,Wegfahrsperrensystem,ce3921b0-8549-4c54-bfca-1c4c44f55f69,Schlüsseltransceiversteuerung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,43959b24-8b34-405f-855f-34648401a3fa,Schlüsseldecodersteuerung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,9e14bc39-4613-49ca-a4d1-4b1545e2d923,Schlüsselencodersteuerung
Bodysystem,Zugangssystem,Wegfahrsperrensystem,cdc51752-a978-4558-b7e2-e885b02377dd,Schlüsselinterface-Software
