Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,d7dabc41-797c-4b79-910a-faf938b29fc0,Sensor für Regen- und Lichterkennung
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,6e2cebc7-2b8e-4b57-b872-4ba9b956f472,Motorsteuergerät für Wischer
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,6a689566-83ce-401e-9b3e-43405032b090,Relaismodul
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,4fd33090-e5ff-40c4-9a57-28ba55e26bad,Wischermotor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,61ebd843-a3f0-4366-84b7-36acfb3e4ba8,Wischerarm
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,5a866d07-e090-4725-97d6-314efedba40d,Wischerblatt
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,f2edd976-9026-4f9a-bdf5-39213527c411,Wischergestänge
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,1a43eca7-bbdd-47df-97af-db3b5c222522,Endlagensensor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,56ea7be9-25b1-4bd7-bc5f-f79966196f53,Wischwasserpumpe
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,6a8a4b5c-5ed5-41fe-b539-3b81fa74f047,Wischwasserdüse
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,bc0ce0d6-ec00-43b0-9948-65322c03202a,Wischwasserbehälter
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,ad206cfb-47b3-4d67-b294-6d4420fb39db,Wischwasserstandssensor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,58c70cf6-6234-4d47-92e8-eeb74572c01b,Wischwasserheizung
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,10bca505-b314-4608-9e56-e36f16e61d81,Steckverbinder
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,8e769044-d230-4286-8cc8-c064b953622f,Wischermotorsteuerungseinheit
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,7049277e-0a3f-4d51-a2de-dbeb3cf2ea75,Spannungswandler
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,57f7a3ab-f596-4a33-8110-6f6b62ad3850,Schutzgehäuse
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,27fde68d-0d6e-4e5c-888c-1eefe6971549,Kabelbaum
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,7e7010ae-3192-4f12-96cd-c813b363c256,Wischerpositionssensor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,fc7a3b42-7db1-42fd-9547-6b7fc16c16f5,Temperatursensor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,a55613c3-f70a-4428-91ed-e1fdfff5689f,Feuchtigkeitssensor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,479ab41d-1f11-4c67-b7bc-62d231f92359,Diagnosestecker
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,4aecb7b1-7261-4610-aa65-da7713ec93f7,Schalldämpfer für Wischermotor
Bodysystem,Karosseriesteuerungssystem,Wischersteuerungssystem,396315cb-fc50-4d1a-8aea-b4b08605b185,Montagehalterung
