Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,e3067e4f-49e9-4b00-a01e-8689d7bc0b82,Temperatursensor
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,b93ea375-da86-4006-a9ce-46debf95d7da,Drucksensor
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,b7fce489-93fb-4e54-837a-3f61b44db39f,Feuchtigkeitssensor
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,9173e664-d4ff-45cb-b188-dd646dddaae9,Leistungsrelais
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,79958008-1ca0-47d6-8a30-f179cf882c5c,Kühlmittelpumpe
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,78d5b93a-751b-4631-a5e2-4ad05b77ea8a,Wärmetauscher
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,cd1b440a-0ef3-4603-b114-64e1c51b62c1,Expansionsventil
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,d3efe577-95a0-4608-afd0-bdad1ae4c279,Kondensator
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,4fcf60c6-6492-453d-9c50-a0be9c14f059,Lüftermotor
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,9a34694e-0908-4421-8e1c-966c1aee57d4,Kompressor
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,265111a2-1ad0-4f2f-849c-48225ef4454e,Heizwiderstand
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,c0f8ef75-1b5c-43fd-b9c9-d674c87cac0a,Steuerplatine
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,abd38670-6a3f-433e-a151-32b769915ce2,Elektrische Verkabelung
Energiesystem,Batteriethermomanagementsystem,Wärmepumpensteuerungssystem,5ebde53e-1a8c-4c86-9318-359e2c54f7ec,Steckverbinder
