Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,596ec9b9-00ea-4f51-a44c-af11a745a74f,Batteriezellen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,f7820c27-0383-4955-bdd0-1c775feac8c5,Leitungsplatinen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,e6098da0-2caf-4241-b833-2da3d5c22fc8,Temperatursensoren
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0e5fa0a3-f967-489c-94ad-6fe690622daf,Spannungssensoren
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,95f167d1-9e61-4b4e-b32b-7fd76f37df78,Stromsensoren
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,ef708c20-a03c-4e1f-8f19-689f78c1c46b,Kommunikationsmodule
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,c46a8b2d-6ad1-47f0-bacc-a783271428c3,Leistungsschalter
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,e87e9cf8-382a-42d4-a632-45ad3f9b7e91,Isolationsüberwachungseinheit
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,1c117697-3e42-49a0-9224-7959fde4c68f,Kühlplatten
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,c436031e-a381-479f-a041-f5efdcb3854e,Heizelemente
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0faf5667-c72d-41d5-b522-3f8cdd32bc1b,Steckverbinder
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0b2fafc8-078e-4c61-96e1-6ac587a9f085,Busbars
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,97f87b51-29b5-45ac-a157-259fdfad4412,Relaismodule
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,2039637a-2483-4bb1-b671-8cbf174e7d2c,Schutzgehäuse
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,ce7388b9-3292-44e4-886b-558dd2f903d3,Diagnoseanschlüsse
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,2ac633a1-3264-4273-a8f9-42a2182eeca8,DC-DC-Wandler
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,33b9c8d2-aaef-4d4d-8973-21b5a1834074,HV-Kabel
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,c0b9d126-2c3e-420f-99c2-bcacecdcf169,LV-Kabel
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,291ebcf3-254e-4e26-b73a-ab800d50178c,Signalverstärker
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,b0b9d8af-cf3a-42c0-bb86-3591c405e830,EMV-Filter
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,774d302e-f6c6-4950-8176-ef2f4c99c7ea,Kapazitätsmodule
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,953e96e5-b8e3-4485-a7c1-7f3e4913a427,Überstromschutzmodule
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,3e4bd97d-7619-466c-8612-8e37f2b27e77,Übertemperaturschutzmodule
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,51cb11bf-f296-4111-98db-117faf247f0c,Feuchtigkeitssensoren
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,51c08f25-9e0a-423c-b2fd-721430194312,Schwingungsdämpfer
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,a95ff308-0b5a-49a7-b5c3-16bfd63b5648,Montagehalterungen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,61dd2bf3-0abc-499e-833a-4983911127f0,Schraubverbindungen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,22284930-a2fd-4a93-9cfc-3b2cd8ebed81,Abschirmungen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,781ac7de-e0b2-4e72-b653-7de8c34c74da,Diagnoseports
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,e2b26144-9a04-44fa-92a7-07da19c27883,Temperaturmanagementmodule
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,2e4a641f-7ee5-4cf2-8ba5-3a36f2b8dd4f,Batteriemanagementsoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,640e52a5-f79b-410a-8d47-79b4f7a9a66e,Spannungsüberwachungssoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,f5717abf-010e-4c2a-9f98-5f1bf61d0404,Stromüberwachungssoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,a090204d-90ff-417b-9b1d-68dd4d492fea,Temperaturüberwachungssoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,d8a1ee50-6fef-4713-af02-0e886beababa,Kommunikationsprotokollsoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,574de90b-af97-4545-a246-9f52e88fc670,Fehlerdiagnosesoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,5183fdab-2c64-4118-ac43-03e6a09b83a1,Leistungssteuerungssoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,c00ded0f-0fdb-4010-a66d-ad71b0c46df1,Isolationsüberwachungssoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,1d769fb4-0a69-4727-a2b2-9517203c626d,Kapazitätsprognosesoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,65ec2cb6-1b59-4460-bfcd-4fad8fccd804,Effizienzoptimierungssoftware
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,4112fb13-0105-483a-b15d-bc2343dbba2f,Schutzalgorithmen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,05b2aa02-6136-4ae0-bb97-f61746a49eaf,Software für Zellenausgleich
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,a0a7a205-a8ed-4deb-b7e5-d5bff6dc7e7b,Software für Ladezustandsberechnung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,197e0240-06ff-4406-a8a3-a2c86a54ca11,Software für Lebensdauerprognose
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0d55307f-8cff-4e44-ab75-1b1e9e2b734a,Software für thermisches Management
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,d37a5b39-a5a7-4d46-8ce8-779107881bc5,Software für Sicherheitsabschaltung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,a0f7445f-aaa3-420c-b1d7-58ad50ab55b4,Software für Datenlogging
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,7a360b80-1cdb-49a3-bb21-65c1ac796494,Software für Echtzeitüberwachung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,668c0482-ca06-4b65-85be-2bbcb18cc869,Software für Fehlerprotokollierung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,92c4e211-5a08-49cb-a5ea-d268ecf7ff1d,Software für Firmware-Updates
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,60a9add6-4571-4dd9-99c9-726f92b82669,Software für Energiemanagement
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0a2e4645-fa58-44f5-9630-3e5a842b992a,Software für Lastverteilung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,36ac8a8e-bf32-4b4a-9b45-0fdece6f32ac,Software für Spannungsregelung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,696a5231-2416-4504-a289-22e0cf54549b,Software für Stromregelung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,170df400-9ec0-4c64-8021-94eb55b22ba6,Software für Temperaturregelung
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0fb416b2-fb7a-4b6a-baab-8bb89e30d2c7,Software für Kommunikationsschnittstellen
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,0e8a2a15-ce59-423f-b093-a0183f46cd26,Software für Diagnoseberichte
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,cb8ce5bc-8119-4715-9fdc-503ddb301da6,Software für Systemintegration
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,694df40e-dc8a-494c-98ab-e9043f09422b,Software für Benutzeroberfläche
Energiesystem,Energiespeichersystem,Zellenergiemanagementsystem,42743d35-e16f-4b92-abf2-28c2f36ea721,Software für Systemtests
