Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,8633bd8b-ad22-4164-ac9b-a0f0a396e80f,Displaypanel
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,beeb9a56-f773-44b3-b30f-91debde491b5,Touchscreen
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,0c35483a-0c42-4cb7-aae6-0f7feea604b5,Displaycontroller
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,57a84445-25fb-40da-a4c4-5467c03b90ab,Backlight-Unit
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,edf41da9-a538-455d-a4f0-bc00f275d6b2,Glasabdeckung
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,3e8f8ea1-36bc-49ea-81d8-d610ed9bb827,Displayrahmen
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,929b9738-8058-4258-b92d-976d444e9c7f,Flexkabel
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,f1d50545-0d53-4b6c-a711-1a6f9a2663ba,PCB-Board
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,9eb027a1-8a0f-42d8-90d6-de026558641e,Spannungsregler
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,2e2e9fd4-1952-46ef-9fa2-8a91dca9ba9a,Temperatursensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,5a208421-9e88-47c1-a0dc-c270daaab4d9,Umgebungslichtsensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,9d572ec2-0923-45ac-9609-abc591c9e75d,Prozessorchip
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,73ae9b73-ade5-46f1-876e-483d00949da0,Grafikprozessor
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,663ea3f7-c4d2-4456-982e-3357144ddd4f,Speichermodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,ef9df6e5-5eb2-462b-abbb-7bca8276af40,Kommunikationsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,f0817234-8711-4800-bcce-fc4ef9ac26c0,HDMI-Schnittstelle
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,8b563524-f0f3-44d7-b050-5e6a0bcec5d9,USB-Schnittstelle
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,00244676-b39e-4fab-bd5a-f7ad3e7700f1,LVDS-Schnittstelle
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,8c4bc264-ecba-44e5-8151-0c1d8fcef2d1,Steckverbinder
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,e2430c83-2a19-4b04-85b9-c24c39470a8a,Montagehalterung
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,84725ce4-c2d1-4d9b-af02-3d8e0b9460d4,Kühlkörper
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,0a0d2d69-5353-4a58-9619-3be763e07802,Schrauben
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,ff0b7e5d-2640-4638-bb6f-38068c1e0c42,Isoliermaterial
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,0e56a41f-424c-42e9-99c2-b806c18808d4,EMV-Abschirmung
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,542b8808-a6b6-4276-afc5-d17cc497a7d3,Stromversorgungseinheit
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,aaf244ba-4045-451f-8c2b-71e5e6a85046,Infrarotsensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,ad8c5ebd-ffb9-417f-b6d5-7c66690b9c6a,Kapazitiver Sensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,c5add22e-4d57-4884-b50c-1c1976b64a27,Schutzfolie
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,702eb9cf-057e-445d-8d48-b6bc1c558736,Touch-IC
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,39d23288-4bee-439e-a208-71c26f3df933,Display-Treiber-IC
Infotainmentsystem,Anzeige- und Bedienungssystem,Zentraldisplaysystem,ef138840-1bd0-423a-9c90-741590557035,UI-Framework
