Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Zugangssystem,Zentralverriegelungssystem,fc39e0a2-1293-4482-bc4e-35708f1e5a3e,Schließmechanismus
Bodysystem,Zugangssystem,Zentralverriegelungssystem,4f298a8b-a233-4d6e-994b-b1523b659118,Schließzylinder
Bodysystem,Zugangssystem,Zentralverriegelungssystem,f780bc5c-5271-49a7-83e4-01b3538dda63,Schließmotor
Bodysystem,Zugangssystem,Zentralverriegelungssystem,53d7728e-1c47-4d74-b2b8-25f05168e097,Schließsensor
Bodysystem,Zugangssystem,Zentralverriegelungssystem,05ddc88d-ae92-4dd5-a075-83e8503a4854,Schließsteuergerät
Bodysystem,Zugangssystem,Zentralverriegelungssystem,9317930c-0f53-479b-87a9-8c682d815550,Schlüsseltransponder
Bodysystem,Zugangssystem,Zentralverriegelungssystem,c3cd41ae-83e3-41ec-ac9d-8b493adc8b92,Schlüsselbatterie
Bodysystem,Zugangssystem,Zentralverriegelungssystem,27a404a9-4b7c-4f8a-afdb-ab4891630fbd,Schlüsselschloss
Bodysystem,Zugangssystem,Zentralverriegelungssystem,434566e5-e898-4357-8d83-f60f3ceb8078,Schlüsselmechanik
Bodysystem,Zugangssystem,Zentralverriegelungssystem,f290bcdf-bb8f-4b9c-81fd-6e2117e5555f,Schlüsselgehäuse
Bodysystem,Zugangssystem,Zentralverriegelungssystem,70de9fab-0969-4a06-9223-c18bfdd8ce9c,Schlüsselantenne
Bodysystem,Zugangssystem,Zentralverriegelungssystem,742bed76-4ff0-4dbd-8acd-c230724f841b,Schlüsselknopf
Bodysystem,Zugangssystem,Zentralverriegelungssystem,8de79ac9-5b42-464d-ad46-237ea0466fd4,Schlüsselplatine
Bodysystem,Zugangssystem,Zentralverriegelungssystem,364b4785-86f6-4db1-87c1-329e8e3dc3c5,Schlüsselspule
Bodysystem,Zugangssystem,Zentralverriegelungssystem,6361c48b-5d90-4011-a185-921304d2a90f,Schlüsselcodierung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,9c83ca31-a785-46be-85dc-472977d3d144,Schlüsselhalterung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,926a3b4b-8df5-4b16-bdf1-3f7abe47c7b5,Schlüsselabdeckung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,c70f2e14-b365-4672-a46b-9a9922492589,Schlüsselring
Bodysystem,Zugangssystem,Zentralverriegelungssystem,fadf2450-c09b-4771-b9de-177175372d67,Schlüsselverriegelung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,e104fb40-ec5e-494b-b8e4-6f8761236c0e,Schlüsselöffnung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,f0fb9538-541b-48e5-952d-512ca8611d56,Schlüsselkontakt
Bodysystem,Zugangssystem,Zentralverriegelungssystem,cba52f7b-3352-4a84-bc67-5c1cc6a067ec,Schlüsselverbindung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,95137ef1-536e-4b4e-9f5a-9539bb87ca9c,Schlüsselmodul
Bodysystem,Zugangssystem,Zentralverriegelungssystem,21aae562-2194-44ad-a62d-5031ad682f10,Schlüsselinterface
Bodysystem,Zugangssystem,Zentralverriegelungssystem,f97cd803-3f49-4764-850d-d3477d6923e2,Schlüsselübertragung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,4a43ad21-e2cc-4938-90ed-b773024a5599,Schlüsselkommunikation
Bodysystem,Zugangssystem,Zentralverriegelungssystem,bc62bfc4-1197-48db-986e-3f95723d400b,Schlüsselaktivierung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,2e4c6ef8-6ba8-4e03-8bc7-d2da85267998,Schlüsseldeaktivierung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,c5482ee6-201d-4000-9107-7ced8761627f,Schlüsselsignal
Bodysystem,Zugangssystem,Zentralverriegelungssystem,cf481a16-f65a-437e-affc-df48f53d7f47,Schlüsselstatus
Bodysystem,Zugangssystem,Zentralverriegelungssystem,c6b2c4a8-3d38-47d5-95ff-e2976c6a13f4,Verriegelungssoftware
Bodysystem,Zugangssystem,Zentralverriegelungssystem,cec276e8-0067-4fbd-8e9d-40b44bbc5e09,Entriegelungssoftware
Bodysystem,Zugangssystem,Zentralverriegelungssystem,be25092e-2c46-4e76-95bf-7c6935493c3d,Schlüsselcodierungssoftware
Bodysystem,Zugangssystem,Zentralverriegelungssystem,a828c966-d9ff-49fe-96d4-8e74216692af,Schlüsselentschlüsselungssoftware
Bodysystem,Zugangssystem,Zentralverriegelungssystem,5c73a5b8-8804-4769-86c2-7f457d656b4d,Schlüsselverwaltungssystem
Bodysystem,Zugangssystem,Zentralverriegelungssystem,aea5f88d-055c-40e4-a607-060fff3890fd,Schlüsselstatusüberwachung
Bodysystem,Zugangssystem,Zentralverriegelungssystem,78e1315b-4893-4185-ad7b-19161a58d79c,Schlüsselkommunikationsprotokoll
Bodysystem,Zugangssystem,Zentralverriegelungssystem,9b3e09e3-b9e6-4d7c-81e1-de9010d3ab48,Schlüsselaktivierungssoftware
Bodysystem,Zugangssystem,Zentralverriegelungssystem,2d4d4e1d-42b1-4551-965c-1bd51240c645,Schlüsseldeaktivierungssoftware
Bodysystem,Zugangssystem,Zentralverriegelungssystem,c982c01c-4a34-4307-9fd8-d52213071264,Schlüsseltranspondersoftware
