Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,2d3b7503-9dd5-4586-a560-d7f79df05e0f,Hochvolt-Trennschalter
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,45640195-85b0-4634-a63b-cdbaab31aea2,Hochvolt-Sicherung
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,44b1286f-8c5d-450c-8f6d-6909a1a75be6,Hochvolt-Relais
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,a14e9ff3-c362-4d1e-a378-75439ec8541f,Hochvolt-Kabelbaum
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,2eba0a76-89f4-4799-96c2-acfe60887d0c,Isolationsüberwachungssensor
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,5a2f4eeb-b680-4a48-8057-04acca765749,Spannungswandler
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,0bc7d2a9-6f33-493d-b646-81d6618426dc,Leistungshalbleiter
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,c8896350-c40a-48ae-aa4b-f384297c4906,Temperatursensor
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,dec213b9-5eb3-48a4-b062-9f54a9344005,Stromsensor
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,029d7af4-6ec8-4b46-b878-c3cdedb842ce,Spannungssensor
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,389610bb-f10b-48b8-8852-3d16fac3ec89,Schutzgehäuse
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,abd574bd-fb1a-4b1e-a23c-5f63b27b3a70,Notabschaltknopf
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,053d7224-3947-45b1-b34d-9ab7905cb88f,Steckverbinder
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,3ba7f481-09e0-414e-8625-baf307dc6853,HV-Batterieanschluss
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,adea50ef-ac87-4a9b-9100-412a283fb1f9,HV-Inverter
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,45abb6d3-8345-4ac7-966b-c99f84019b26,HV-Kondensator
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,0306e947-98d5-4751-a8e4-7333894e97f4,HV-Drossel
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,3f77aa78-499c-48de-a3ff-ef21215ead87,HV-Steckdose
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,98e02dd5-e75e-49c8-b9c9-5ec730b9c9fb,HV-Kontaktierungseinheit
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,67c0f9a2-af19-4e1f-8aea-94ea6aecc791,HV-Schaltmodul
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,5caf06f0-6a9f-4e4b-bd18-5376811163ea,HV-Leistungsschalter
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,a563e7ba-1920-4999-b1f5-d82a526b1f00,HV-Sicherungsmodul
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,9a5dd53a-0de1-404b-a576-f06aa091b22b,HV-Kabelschutz
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,e01851f1-5eaf-4830-82fe-e8f77d850b3a,HV-Isolationsmaterial
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,fb178d7f-12b0-4319-8f42-c2298f5b9ccd,HV-Klemmenblock
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,a9a11cec-ff55-4864-a65a-47bf2d1d2d1b,HV-Überwachungseinheit
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,aee411c4-ed73-4f57-b44a-c813a4f482d0,HV-Filtermodul
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,4ec3e1ba-fec8-4d9d-9378-cc973434074f,HV-Kühlkörper
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,ff25a57d-dbbc-4126-bbe6-7d9d1b6a6f11,HV-Schutzschicht
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,450c3b55-1e71-4fee-8360-e1f8e4580df4,HV-Diagnoseanschluss
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,b6d4625e-2209-4911-8e76-a0df37e463e5,Fehlermanagementsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,7a1fb2cc-161c-4060-a185-d1af69d8fce3,Diagnosesoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,960b71ee-eba0-452e-9e21-7e98714e1761,Isolationsüberwachungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,5f18e356-1cf8-496d-84fd-42963df59ab7,Spannungsüberwachungssystem
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,81db6144-f468-4945-9233-a167cb18bd33,Stromüberwachungssystem
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,eadc0741-7d18-412f-9b08-fde98dc473d3,Temperaturüberwachungssystem
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,d43f62df-116c-4761-a6f6-d866d8ec6fee,Notabschaltlogik
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,928ab0ac-6081-4376-a064-087d0b21c178,Schutzalgorithmen
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,4a6e4743-16b9-4fc3-9f15-c3d681817180,Relaissteuerungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,cebde9fb-edce-4f29-954c-90cbd6858fe3,Sensorintegrationssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,920265a7-2e92-45a7-b06c-3bedab91f11e,Kommunikationsprotokollsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,1947f0d7-d50c-4c64-8134-5f9649dbe06d,Fehlerspeicherverwaltung
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,bc03ab07-5529-4243-ba78-7d6808cad002,Selbsttestsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,37ea7d87-9b1e-46e7-9a74-e9ba3f83a583,Überlastschutzsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,5813b145-642f-4a09-a014-ebb484183371,Spannungsregelungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,d271db8f-d4ff-4a3d-abf1-ebd8096909f5,Stromregelungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,51949249-3901-4cf3-ab8b-7d0d0bd06117,Diagnosedatenprotokollierung
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,b2d5b7a9-471e-490a-bc85-e86fb781e0ef,Softwareaktualisierungssystem
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,fa796912-2193-408a-ad68-fb5d48516b5f,Fehlertoleranzsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,a8d5a2fc-afe0-4993-9bc5-2ac10ba4bf0f,Abschaltsteuerungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,0dfb3d00-5bc3-4927-a23b-1104fad1b050,Überwachungssystemsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,cf3ca0dd-90e5-4090-ad5b-c2148891572a,HV-Kommunikationssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,694b12ef-379d-45ae-af92-84718bfc1d93,HV-Diagnosesoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,cffff395-4eb4-4e66-a9ec-d88d849fdbc3,HV-Sicherheitssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,28f973a2-b2e3-4134-ae84-49148eecf388,HV-Fehlerprognosesoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,b2f872c8-7dc0-44c7-a2ab-b6de579bb405,HV-Fehlererkennungssystem
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,23f52c6c-70bd-4981-aa7e-df8a60f87b65,HV-Fehlerbehebungssoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,a8dc038b-3338-4276-b980-21f8e78f01e4,HV-Notfallsteuerungssystem
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,05ce5499-30ad-4acb-8aea-3d09816a7232,HV-Sicherheitsabschaltsoftware
Energiesystem,Energiesicherheitsabschaltsystem,Überspannungsabschaltungssystem,6036ca29-b10f-4fc3-9264-db62e8fef2c6,HV-Fehlersimulationsoftware
