Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,6de529d6-6373-470d-8af1-d5b99e8e4993,Motorsteuergerät
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,ed3c8416-eab7-4938-a7b0-f029ece13fd3,Achssensoren
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,641c6072-ec96-4a37-8b26-d82ad1128cd4,Drehmomentwandler
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,334cec14-10fc-47cf-9808-a59cad7bcb02,Antriebswellen
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,8d2ff4fe-4532-4e39-be3c-40cc44570c78,Vorderachsdifferential
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,7eee7801-6186-4748-bc35-64f4047f9ae2,Getriebegehäuse
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,a47cb455-9b9a-4962-8be1-bd36f3e903b7,Radlager
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,1a66b29f-457e-43c9-94e0-86d0c9f3c28d,Antriebsriemen
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,6d2877b6-e59a-4b4c-a61c-1cc77384cd0c,Schwingungsdämpfer
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,b3233bcc-71c2-42a6-b260-e9c7b0d1ec3d,Ölpumpe
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,9144c52f-6f93-430b-80eb-61f1daaa5e27,Hydraulikventile
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,b1bc18a0-9cdb-4f4e-a781-55bf54f3ba74,Antriebsrad
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,f7fc8140-d635-4ac6-b2aa-577a71b2deab,Achsträger
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,aad548a7-39c7-4c5c-9432-b9cab4621990,Steckachsen
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,5e1bdfdf-8b66-4fc4-bb2f-a37c77015c09,Schaltaktuatoren
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,bf3b624a-9276-4f86-9159-b44dcd288c62,Getriebeölkühler
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,091be978-be46-40e0-a2c7-af905e828556,Antriebsflansch
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,a17e48ea-eafc-4995-a2c9-497aba2622bf,Achsmanschetten
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,1d81cddd-c3d1-4cf6-b260-2af3d1c3a29f,Radnaben
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,a33fc7aa-7a09-483e-8940-5289c1e23277,Antriebswellenlager
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,c36bf666-567a-428e-9ba8-865461fc6c35,Schaltgabeln
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,2d997a76-3e96-4421-a968-b539b322458f,Getriebeschaltmechanismus
Fahrsystem,Antriebssystem,Vorderachsantriebssystem,682b8556-134b-457e-9eb2-0d7679d18ccf,Achskupplung
